Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Gabriel Magalhães,Brazil,Rotation,checked,Arsenal,England,Premier League,CD,Left,Balanced,Aerial,Stopper,Colossus,89,Starter,Premium
David Raya,Spain,Rotation,checked,Arsenal,England,Premier League,GK,Right,Balanced,Distributor,Sweeper,Libero GK,89,Starter,Premium
Oleksandr Zinchenko,Ukraine,Key,checked,Arsenal,England,Premier League,WD ,Left,Attacking,Controller,Engine,Conductor,87,Rotation,Premium
Jakub Kiwior,Poland,Starter,checked,Arsenal,England,Premier League,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,86,Rotation,Premium
Eddie Nketiah,England,National Pool,checked,Arsenal,England,Premier League,CF,Right,Balanced,Striker,Engine,Poacher,85,Squad,Available
Ben White,England,National Pool,checked,Arsenal,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,88,Starter,Premium
Fabio Vieira,Portugal,National Pool,checked,Arsenal,England,Premier League,CM,Left,Attacking,Creator,Striker,Fantasista,86,Squad,Probation
Kai Havertz,Germany,Starter,checked,Arsenal,England,Premier League,CM,Left,Attacking,Engine,Creator,Raumdeuter,89,Starter,Premium
Emile Smith Rowe,England,National Pool,checked,Arsenal,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,86,Squad,Probation
Jorginho,Italy,Key,checked,Arsenal,England,Premier League,CM,Right,Balanced,Controller,Commander,Mastermind,91,Rotation,New Contract
Reiss Nelson,England,National Pool,checked,Arsenal,England,Premier League,WM,Right,Attacking,Sprinter,Dribbler,Spark,85,Squad,Available
Jurrien Timber,Netherlands,Rotation,checked,Arsenal,England,Premier League,WD ,Right,Balanced,Cover,Controller,Sweeper,87,Rotation,Premium
Takehiro Tomiyasu,Japan,Starter,checked,Arsenal,England,Premier League,WD ,Right,Cautious,Cover,Stopper,Terrier,87,Rotation,Premium
Thomas Partey,Ghana,Starter,checked,Arsenal,England,Premier League,CM,Right,Balanced,Powerhouse,Engine,Tank,88,Rotation,Available
Aaron Ramsdale,England,Squad,checked,Arsenal,England,Premier League,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,86,Squad,Available
Mohamed Elneny,Egypt,Starter,checked,Arsenal,England,Premier League,CM,Right,Cautious,Engine,Cover,Dynamo,86,Squad,Contract Expired
Cedric Soares,Portugal,Reserve,checked,Arsenal,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,85,Squad,Available
Ethan Nwaneri,England,Youth Team,checked,Arsenal,England,Premier League,WF,Left,Attacking,Creator,Striker,Fantasista,84,Wonderkid,Not For Sale
Marquinhos,Brazil,National Pool,checked,Arsenal,England,Premier League,WF,Left,Attacking,Dribbler,Striker,Attacker,84,Wonderkid,Probation
Alessia Russo,England,Starter,checked,Arsenal Women,England,WSL,CF,Right,Attacking,Powerhouse,Striker,Rifle,85,,
Katie McCade,Ireland,,checked,Arsenal Women,England,WSL,WD ,Left,Balanced,Passer,Cover,Provider,84,,
Kyra Cooney-Cross,Australia,,checked,Arsenal Women,England,WSL,CM,Right,Balanced,Controller,Engine,Conductor,84,,
Laura Wienroither,Austria,,checked,Arsenal Women,England,WSL,WD ,Right,,,,,81,,
Cloé Lacasse,Canada,,checked,Arsenal Women,England,WSL,WF,,,,,,,,
Lotte Wubben-Moy,England,,checked,Arsenal Women,England,WSL,CD,,,,,,,,
Emily Fox,,,checked,Arsenal Women,England,WSL,WD ,,,,,,,,
Beth Mead,England,,checked,Arsenal Women,England,WSL,WF,Either,Attacking,Striker,Powerhouse,Hitman,85,,
Caitlin Foord,Australia,,checked,Arsenal Women,England,WSL,WF,Right,Attacking,Creator,Dribbler,Magician,85,,
Kaylan Marckese,,,checked,Arsenal Women,England,WSL,GK,,Cautious,,,,,,
Stina Blackstenius,Sweden,,checked,Arsenal Women,England,WSL,CF,Right,Attacking,Striker,Engine,Poacher,84,,
Teyah Goldie,England,,checked,Arsenal Women,England,WSL,CD,,,,,,,,
Frida Maanum,Norway,,checked,Arsenal Women,England,WSL,WM,Right,Attacking,Creator,Engine,Catalyst,,,
Naomi Williams,England,,checked,Arsenal Women,England,WSL,WD ,,,,,,,,
Vivianne Miedema,Netherlands,,checked,Arsenal Women,England,WSL,CF,Either,Attacking,Striker,Powerhouse,Hitman,85,,
Laia Codina,Spain,,checked,Arsenal Women,England,WSL,WD ,,,,,,,,
Leah Williamson,England,,checked,Arsenal Women,England,WSL,CD,,,,,,81,,
Victoria Pelova,Netherlands,,checked,Arsenal Women,England,WSL,CM,Right,Balanced,Engine,Controller,Box-To-Box,84,,
Amanda Ilestedt,Sweden,,checked,Arsenal Women,England,WSL,CD,Right,,Stopper,Aerial,Centre Back,85,,
Lia Wälti,Switzerland,,checked,Arsenal Women,England,WSL,CM,Right,Balanced,Controller,Cover,Halfback,84,,
Kim Little,Scotland,,checked,Arsenal Women,England,WSL,CM,,,,,,,,
Lina Hurtig,Sweden,,checked,Arsenal Women,England,WSL,WF,,,,,,,,
Steph Catley,Australia,,checked,Arsenal Women,England,WSL,WD ,Left,Balanced,Engine,Controller,Box-To-Box,84,,
Sabrina D'Angelo,Canada,,checked,Arsenal Women,England,WSL,GK,,Cautious,,,,,,
Manuela Zinsberger,Austria,,checked,Arsenal Women,England,WSL,GK,,Cautious,,,,,,
John McGinn,Scotland,,checked,Aston Villa,England,Premier League,CM,Left,Balanced,Commander,Engine,General,88,"Key,Captain",
Emiliano Martinez,Argentina,Starter,checked,Aston Villa,England,Premier League,GK,Right,Cautious,Commander,Orthodox,Protector,92,Key,Premium
Douglas Luiz,Brazil,,checked,Aston Villa,England,Premier League,CM,Right,Balanced,Passer,Creator,Playmaker,88,,
Moussa Diaby,France,,checked,Aston Villa,England,Premier League,WF,Left,Attacking,Dribbler,Striker,Attacker,88,,
Ollie Watkins,England,Rotation,checked,Aston Villa,England,Premier League,CF,Right,Balanced,Sprinter,Striker,Assassin,89,Key,
Ezri Konsa,England,Rotation,checked,Aston Villa,England,Premier League,CD,Right,Balanced,Stopper,Engine,Disruptor,87,Starter,
Boubacar Kamara,France,,checked,Aston Villa,England,Premier League,CM,Right,Balanced,Controller,Engine,Conductor,87,,
Alex Moreno,Spain,,checked,Aston Villa,England,Premier League,WD ,Left,Balanced,Engine,Sprinter,Shuttler,86,Rotation,Premium
Nicolo Zaniolo,Italy,,checked,Aston Villa,England,Premier League,WF,Left,Attacking,Creator,Striker,Fantasista,87,,
Pau Torres,Spain,,checked,Aston Villa,England,Premier League,CD,Left,Balanced,Passer,Cover,Provider,87,,
Diego Carlos,Brazil,,checked,Aston Villa,England,Premier League,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,87,,
Matty Cash,Poland,Rotation,checked,Aston Villa,England,Premier League,WD ,Right,Attacking,Sprinter,Engine,Raider,87,Rotation,
Tyrone Mings,England,,checked,Aston Villa,England,Premier League,CD,Left,Cautious,Powerhouse,Aerial,Dominator,86,,
Robin Olsen,Sweden,,checked,Aston Villa,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,86,Squad,Available
Lucas Digne,France,,checked,Aston Villa,England,Premier League,WD ,Left,Attacking,Passer,Cover,Provider,87,Rotation,Premium
Emiliano Buendia,Argentina,,checked,Aston Villa,England,Premier League,WM,Right,Balanced,Creator,Engine,Catalyst,86,,
Leon Bailey,Jamaica,Key,checked,Aston Villa,England,Premier League,WF,Left,Attacking,Creator,Dribbler,Magician,89,Starter,
Jacob Ramsey,England,,checked,Aston Villa,England,Premier League,WM,Right,Attacking,Dribbler,Creator,Wizard,84,,
John Duran,Colombia,,checked,Aston Villa,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,86,,
Kadan Young,,,checked,Aston Villa,England,Premier League,WF,Right,Attacking,Sprinter,Creator,Livewire,81,Wonderkid,
Kosta Nedeljkovic,Serbia,,checked,Aston Villa,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,84,Wonderkid,
Rory Wilson,,,checked,Aston Villa,England,Premier League,CF,Right,Attacking,Striker,Aerial,Finisher,84,Wonderkid,
Youri Tielemans,Belgium,Starter,checked,Aston Villa,England,Premier League,CM,Right,Balanced,Controller,Striker,Marksman,88,Starter,
Rachel Daly,England,,checked,Aston Villa W.F.C.,England,WSL,WF,Either,Attacking,Striker,Sprinter,Rocket,85,,
Kirsty Hanson,Scotland,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Sarah Mayling,England,,checked,Aston Villa W.F.C.,England,WSL,WD ,Right,Balanced,Engine,Passer,Orchestrator,82,,
Sophia Poor,England,,checked,Aston Villa W.F.C.,England,WSL,GK,,Cautious,,,,,,
Daphne van Domselaar,Netherlands,,checked,Aston Villa W.F.C.,England,WSL,GK,,Cautious,Acrobat,Orthodox,Shotstopper,82,,
Lucy Parker,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Ebony Salmon,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Simone Magill,,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Noelle Maritz,Switzerland,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Miri Taylor,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Adriana Leon,Canada,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Kenza Dali,France,,checked,Aston Villa W.F.C.,England,WSL,CM,Right,Attacking,Creator,Striker,Fantasista,84,,
Freya Gregory,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Alisha Lehmann,Switzerland,,checked,Aston Villa W.F.C.,England,WSL,WF,Right,Attacking,Sprinter,Striker,Assassin,83,,
Anna Leat,New Zealand,,checked,Aston Villa W.F.C.,England,WSL,GK,,Cautious,,,,78,,
Jordan Nobbs,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Maz Pacheco,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Danielle Turner,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Lucy Staniforth,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Anna Patten,,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Rachel Corsie,Scotland,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Georgia Mullett,England,,checked,Aston Villa W.F.C.,England,WSL,,,,,,,,,
Jamie McCart,Scotland,,checked,Barnsley,England,League One,CD,Left,Balanced,Stopper,Controller,Lynchpin,81,,
Luca Connell,Ireland,,checked,Barnsley,England,League One,,,,,,,,,
Barry Cotter,Ireland,,checked,Barnsley,England,League One,,,,,,,,,
Sam Cosgrove,England,,checked,Barnsley,England,League One,,,,,,,,,
Jon Russell,Jamaica,,checked,Barnsley,England,League One,,,,,,,,,
Max Watters,England,,checked,Barnsley,England,League One,,,,,,,,,
Kacper Łopata,Poland,,checked,Barnsley,England,League One,,,,,,,,,
Andrew Dallas,Scotland,,checked,Barnsley,England,League One,,,,,,,,,
Maël de Gevigney,France,,checked,Barnsley,England,League One,,,,,,,,,
Josh Earl,England,,checked,Barnsley,England,League One,,,,,,,,,
Josh Benson,England,,checked,Barnsley,England,League One,,,,,,,,,
Kyran Lofthouse,England,,checked,Barnsley,England,League One,,,,,,,,,
Donovan Pines,United States,,checked,Barnsley,England,League One,,,,,,,,,
Corey O'Keeffe,Ireland,,checked,Barnsley,England,League One,,,,,,,,,
Adam Phillips,England,,checked,Barnsley,England,League One,,,,,,,,,
Jack Shepherd,England,,checked,Barnsley,England,League One,,,,,,,,,
Conor McCarthy,Ireland,,checked,Barnsley,England,League One,,,,,,,,,
Ben Killip,England,,checked,Barnsley,England,League One,GK,,,,,,,,
Fábio Jaló,Portugal,,checked,Barnsley,England,League One,,,,,,,,,
Matty Wolfe,England,,checked,Barnsley,England,League One,,,,,,,,,
Oli Shaw,Scotland,,checked,Barnsley,England,League One,,,,,,,,,
James Chester,Wales,,checked,Barrow,England,League Two,CD,Right,Cautious,Stopper,Engine,Disruptor,,,
David Aziaya,England,,checked,Barrow,England,League Two,GK,,,,,,,,
Mazeed Ogungbo,Ireland,,checked,Barrow,England,League Two,,,,,,,,,
Dean Campbell,Scotland,,checked,Barrow,England,League Two,,,,,,,,,
Mitchel Bergkamp,Netherlands,,checked,Barrow,England,League Two,,,,,,,,,
Grant Smith,England,,checked,Barrow,England,League Two,GK,,,,,,,,
Paul Farman,England,,checked,Barrow,England,League Two,GK,,,,,,,,
Idris Odutayo,England,,checked,Barrow,England,League Two,,,,,,,,,
Niall Canavan,Ireland,,checked,Barrow,England,League Two,,Left,,,,,,,
Kian Spence,England,,checked,Barrow,England,League Two,,,,,,,,,
Louis Dennis,England,,checked,Barrow,England,League Two,,,,,,,,,
James Vennings,England,,checked,Barrow,England,League Two,,,,,,,,,
Olufela Olomola,England,,checked,Barrow,England,League Two,,,,,,,,,
Cole Kpekawa,England,,checked,Barrow,England,League Two,,,,,,,,,
Sean Etaluku,England,,checked,Barrow,England,League Two,,,,,,,,,
Robbie Gotts,England,,checked,Barrow,England,League Two,,,,,,,,,
Dom Telford,England,,checked,Barrow,England,League Two,,,,,,,,,
Junior Tiensia,England,,checked,Barrow,England,League Two,,,,,,,,,
Marcus Sablier,France,,checked,Barrow,England,League Two,,,,,,,,,
Myles Weston,,,checked,Barrow,England,League Two,,Left,,,,,,,
Wyll Stanway,England,,checked,Barrow,England,League Two,GK,,,,,,,,
Soul Kader,England,,checked,Barrow,England,League Two,,,,,,,,,
Sam Woods,England,,checked,Barrow,England,League Two,,,,,,,,,
Besart Topalloj,,,checked,Barrow,England,League Two,,,,,,,,,
Josh Passley,England,,checked,Barrow,England,League Two,,,,,,,,,
Levi Amantchi,England,,checked,Barrow,England,League Two,,,,,,,,,
Jude Arthurs,England,,checked,Barrow,England,League Two,,,,,,,,,
Elliot Newby,England,,checked,Barrow,England,League Two,,,,,,,,,
Emile Acquah,England,,checked,Barrow,England,League Two,,,,,,,,,
Kacper Orlowski,Poland,,checked,Barrow,England,League Two,GK,,,,,,,,
Michael Cheek,England,,checked,Barrow,England,League Two,,,,,,,,,
Byron Webster,England,,checked,Barrow,England,League Two,,Left,,,,,,,
Ashley Charles,Grenada,,checked,Barrow,England,League Two,,,,,,,,,
Deji Elerewe,England,,checked,Barrow,England,League Two,,,,,,,,,
Todd Miller,England,,checked,Barrow,England,League Two,,,,,,,,,
Corey Whitely,England,,checked,Barrow,England,League Two,,,,,,,,,
Callum Reynolds,England,,checked,Barrow,England,League Two,,,,,,,,,
David Worrall,England,,checked,Barrow,England,League Two,,Right,,,,,,,
Koji Miyoshi,Japan,,checked,Birmingham City,England,Championship,WF,Left,Attacking,Creator,Dribbler,Magician,82,,
Tyler Roberts,Wales,,checked,Birmingham City,England,Championship,CF,Right,Balanced,Sprinter,Powerhouse,Athlete,83,,
Lee Buchanan,England,,checked,Birmingham City,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,83,,
Jay Stansfield,England,,checked,Birmingham City,England,Championship,CF,Right,Balanced,Engine,Striker,Menace,83,Wonderkid,
Keshi Anderson,England,,checked,Birmingham City,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,83,,
Cody Drameh,England,,checked,Birmingham City,England,Championship,WD ,Right,Balanced,Sprinter,Cover,Flanker,83,,
Krystian Bielik,Poland,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Aerial,Engine,Juggernaut,83,,
Siriki Dembele,Scotland,,checked,Birmingham City,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,81,,
Alex Pritchard,England,,checked,Birmingham City,England,Championship,WM,Right,Balanced,Creator,Engine,Catalyst,83,,
Marcel Oakley,England,,checked,Birmingham City,England,Championship,CD,Right,Balanced,Stopper,Commander,Leader,80,,
Ethan Laird,England,,checked,Birmingham City,England,Championship,WD ,Right,Balanced,Sprinter,Cover,Flanker,83,,
Brad Mayo,England,,checked,Birmingham City,England,Championship,GK,Right,Balanced,Commander,Orthodox,Protector,78,,
Oliver Burke,Scotland,,checked,Birmingham City,England,Championship,WM,Right,Attacking,Sprinter,Powerhouse,Athlete,83,,
Dion Sanderson,England,,checked,Birmingham City,England,Championship,CD,Right,Balanced,Powerhouse,Stopper,Enforcer,83,,
Scott Hogan,Ireland,,checked,Birmingham City,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,83,,
Lukas Jutkiewicz,Poland,,checked,Birmingham City,England,Championship,CF,Left,Attacking,Aerial,Powerhouse,Bulldozer,83,,
Gary Gardner,England,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,82,,
Emanuel Aiwu,Austria,,checked,Birmingham City,England,Championship,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,83,,
Andre Dozzell,England,,checked,Birmingham City,England,Championship,CM,Left,Attacking,Passer,Creator,Playmaker,83,,
Josh Home,England,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Engine,Passer,Orchestrator,79,,
Alfie Chang,England,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,80,,
Ivan Sunjic,Croatia,,checked,Birmingham City,England,Championship,CM,Right,Cautious,Engine,Stopper,Destroyer,83,,
George Hall,England,,checked,Birmingham City,England,Championship,CM,Right,Attacking,Creator,Engine,Catalyst,82,,
Jordan James,Wales,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Marc Roberts,England,,checked,Birmingham City,England,Championship,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,82,,
Brandon Khela,England,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,81,,
Paik Seung-ho,South Korea,,checked,Birmingham City,England,Championship,CM,Right,Attacking,Creator,Engine,Catalyst,84,,
John Ruddy,England,,checked,Birmingham City,England,Championship,GK,Right,Cautious,Orthodox,Aerial,Glove,83,,
Emmanuel Longelo,,,checked,Birmingham City,England,Championship,WD ,Left,Attacking,Sprinter,Dribbler,Spark,82,,
Neil Etheridge,,,checked,Birmingham City,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,82,,
Junior Dixon,England,,checked,Birmingham City,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,77,,
Juninho Bacuna,,,checked,Birmingham City,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,82,,
Josh Williams,England,,checked,Birmingham City,England,Championship,WD ,Right,Balanced,Sprinter,Cover,Flanker,82,,
Tate Campbell,England,,checked,Birmingham City,England,Championship,,,,,,,,,
Ivo Sunjic,Croatia,,checked,Birmingham City,England,Championship,,,,,,,,,
Romelle Donovan,England,,checked,Birmingham City,England,Championship,,,,,,,,,
Leo Duru,England,,checked,Blackburn Rovers,England,Championship,WD ,Right,Attacking,Sprinter,Engine,Raider,80,,
Dominic Hyam,Scotland,,checked,Blackburn Rovers,England,Championship,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,82,,
Yasin Ayari,Sweden,,checked,Blackburn Rovers,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,83,,
Jake Garrett,England,,checked,Blackburn Rovers,England,Championship,CM,Left,Cautious,Engine,Cover,Dynamo,82,,
Patrick Gamble,England,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,79,,
John Buckley,England,,checked,Blackburn Rovers,England,Championship,CM,Right,Balanced,Controller,Creator,Metronome,83,,
Dilan Markanday,England,,checked,Blackburn Rovers,England,Championship,WM,Left,Balanced,Dribbler,Sprinter,Winger,81,,
Sam Gallagher,England,,checked,Blackburn Rovers,England,Championship,CF,Right,Balanced,Engine,Powerhouse,Bison,84,,
Andrew Moran,Ireland,,checked,Blackburn Rovers,England,Championship,CM,Right,Attacking,Creator,Sprinter,Hurricane,85,,
Jake Batty,England,,checked,Blackburn Rovers,England,Championship,WD ,Left,Balanced,Sprinter,Passer,Provider,81,,
Leopold Wahlstedt,Sweden,,checked,Blackburn Rovers,England,Championship,GK,Right,Cautious,Acrobat,Sweeper,Hawk,83,,
Niall Ennis,Jamaica,,checked,Blackburn Rovers,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,83,,
Ben Chrisene,England,,checked,Blackburn Rovers,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,82,,
Igor Tyjon,Poland,,checked,Blackburn Rovers,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,79,,
James Edmondson,England,,checked,Blackburn Rovers,England,Championship,CM,Left,Attacking,Creator,Passer,Maestro,80,,
Zak Gilsenan,Ireland,,checked,Blackburn Rovers,England,Championship,WM,Right,Attacking,Creator,Dribbler,Magician,80,,
John Fleck,Scotland,,checked,Blackburn Rovers,England,Championship,CM,Left,Balanced,Creator,Passer,Maestro,84,,
Sondre Tronstad,Norway,,checked,Blackburn Rovers,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Ryan Hedges,Wales,,checked,Blackburn Rovers,England,Championship,WM,Left,Attacking,Engine,Creator,Raumdeuter,82,,
Kristi Montgomery,Scotland,,checked,Blackburn Rovers,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,80,,
Rhys Doherty,England,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Stopper,Controller,Lynchpin,80,,
Scott Wharton,England,,checked,Blackburn Rovers,England,Championship,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,83,,
Tyrhys Dolan,England,,checked,Blackburn Rovers,England,Championship,WM,Right,Attacking,Sprinter,Dribbler,Spark,83,,
Harry Pickering,England,,checked,Blackburn Rovers,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,83,,
Billy Koumetio,France,,checked,Blackburn Rovers,England,Championship,CD,Left,Balanced,Aerial,Stopper,Colossus,82,,
Nicholas Michalski,England,,checked,Blackburn Rovers,England,Championship,GK,Right,Cautious,Acrobat,Aerial,Guardian,77,,
Kyle McFadzean,England,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Commander,Stopper,Skipper,83,,
Sam Barnes,England,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,82,,
Arnor Sigurdsson,Iceland,,checked,Blackburn Rovers,England,Championship,WF,Right,Attacking,Creator,Sprinter,Hurricane,84,,
Tom Atcheson,,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,80,,
Connor O'Riordan,Ireland,,checked,Blackburn Rovers,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,80,,
Hayden Carter,England,,checked,Blackburn Rovers,England,Championship,CD,Right,Balanced,Aerial,Powerhouse,Bulldozer,82,,
Callum Brittain,England,,checked,Blackburn Rovers,England,Championship,WD ,Right,Balanced,Engine,Sprinter,Shuttler,83,,
Rory Finneran,Ireland,,checked,Blackburn Rovers,England,Championship,CM,Right,Balanced,Powerhouse,Engine,Tank,82,,
Joe Rankin Costello,England,,checked,Blackburn Rovers,England,Championship,WD ,Right,Balanced,Engine,Dribbler,Tornate,84,,
Aynsley Pears,England,,checked,Blackburn Rovers,England,Championship,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,82,,
Harry Leonard,England,,checked,Blackburn Rovers,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,82,,
