person_id,name,position,current_level,suggested_level,gap,overall,role_score,role,grades,club,league
12830,Joleon Lescott,CD,44,69,-25,46,69,Stopper,29,Sunderland,Championship
12880,Jonathan Woodgate,CD,44,69,-25,47,69,Stopper,20,,
18528,William Gallas,CD,44,69,-25,47,69,Stopper,20,Tottenham Hotspur,Premier League
10607,Emanuele Giaccherini,WF,44,69,-25,48,69,Inside Forward,29,Chievo Verona,
16315,Philippe Mexès,CD,44,69,-25,47,69,Stopper,29,AC Milan,Serie A
9853,Damien Duff,WF,44,69,-25,47,69,Inside Forward,20,Melbourne City FC,
6763,Simone Pepe,WF,42,67,-25,49,67,Inside Forward,29,Pescara,Serie B
1939,Dimitris Salpingidis,WF,42,67,-25,45,67,Inside Forward,20,,
1461,DaMarcus Beasley,WF,42,67,-25,45,67,Inside Forward,20,,
7011,Sylvain Distin,CD,42,67,-25,43,67,Stopper,29,Bournemouth,Premier League
11307,George Boyd,WF,34,59,-25,38,59,Inside Forward,29,Peterborough United,League One
3603,José Callejón,WF,50,74,-24,55,74,Inside Forward,29,Granada,Segunda División
16831,Ronaldinho,WF,47,71,-24,50,71,Inside Forward,20,,
9187,Brede Hangeland,CD,44,68,-24,45,68,Stopper,29,Crystal Palace,Premier League
16604,Ricardo Carvalho,CD,44,68,-24,46,68,Stopper,29,,
12343,Jamie Carragher,CD,44,68,-24,46,68,Stopper,20,Liverpool,Premier League
15924,Olof Mellberg,CD,44,68,-24,46,68,Stopper,20,Villarreal,La Liga
5009,Mbark Boussoufa,WF,43,67,-24,48,67,Inside Forward,29,,
12973,Joris Mathijsen,CD,43,67,-24,46,67,Stopper,20,Feyenoord,Eredivisie
107,Adrián Ramos,CF,42,66,-24,52,66,Poacher,43,,
3401,Jobi McAnuff,WF,42,66,-24,45,66,Inside Forward,20,Stevenage,League Two
1282,Christoph Metzelder,CD,42,66,-24,45,66,Stopper,20,Schalke 04,2. Bundesliga
17436,Silas,WF,42,66,-24,51,66,Inside Forward,41,Stuttgart,
6327,Roy Contout,WF,42,66,-24,44,66,Inside Forward,20,Mouscron-Péruwelz,
10604,Emanuel Pogatetz,CD,42,66,-24,44,66,Stopper,20,LASK,
15505,Nani,WF,48,71,-23,55,71,Inside Forward,34,Adana Demirspor,
15063,Michael Dawson,CD,46,69,-23,47,69,Stopper,29,Nottingham Forest,Premier League
18566,Xabi Alonso,DM,46,69,-23,51,69,Sentinelle,29,Bayern Munich,Bundesliga
8437,Andrea Barzagli,CD,44,67,-23,46,67,Stopper,29,Juventus,Serie A
11002,Fernando Meira,CD,44,67,-23,47,67,Stopper,20,,
9789,Cristian Chivu,CD,44,67,-23,47,67,Stopper,20,,
14128,Ludovic Obraniak,WF,43,66,-23,46,66,Inside Forward,20,Auxerre,Ligue 1
14838,Matthew Upson,CD,43,66,-23,46,66,Stopper,20,Milton Keynes Dons,League Two
9989,Danny Collins,CD,42,65,-23,45,65,Stopper,20,,
2812,Guy Demel,CD,42,65,-23,45,65,Stopper,20,Red Star,
5445,Nicola Legrottaglie,CD,42,65,-23,45,65,Stopper,20,,
2629,Gervinho,WF,52,74,-22,56,74,Inside Forward,29,Aris Thessaloniki FC,
11745,Hatem Ben Arfa,WF,48,70,-22,53,70,Inside Forward,29,Lille,Ligue 1
8866,Balázs Dzsudzsák,WF,46,68,-22,52,68,Inside Forward,29,Debreceni VSC,Nemzeti Bajnokság I
3462,John Heitinga,CD,46,68,-22,47,68,Stopper,29,,
7488,Willie Overtoom,WF,45,67,-22,47,67,Inside Forward,20,Al-Shamal SC,
8262,Aliaksandr Hleb,WF,44,66,-22,47,66,Inside Forward,20,,
16433,Rafael van der Vaart,AM,44,66,-22,49,66,Trequartista,29,FC Midtjylland,Danish Superliga
14203,Lukas Podolski,WF,44,66,-22,52,66,Inside Forward,43,Górnik Zabrze,Ekstraklasa
11695,Harry Kewell,WF,44,66,-22,47,66,Inside Forward,20,,
1559,Daniel Van Buyten,CD,43,65,-22,45,65,Stopper,20,Bayern Munich,Bundesliga
5536,Oguchi Onyewu,CD,42,64,-22,44,64,Stopper,20,Philadelphia Union,Major League Soccer
2636,Giampaolo Pazzini,CF,42,64,-22,47,64,Poacher,29,Verona,Serie A
11265,Gareth McAuley,CD,42,64,-22,43,64,Stopper,29,Rangers FC,
7660,Aaron Hughes,CD,42,64,-22,45,64,Stopper,20,Heart of Midlothian FC,
1920,Diego Perotti,WF,54,75,-21,58,75,Inside Forward,29,Salernitana,Serie B
13484,Kevin Mirallas,WF,51,72,-21,55,72,Inside Forward,29,AEL Limassol,
7662,Aaron Lennon,WF,50,71,-21,51,71,Inside Forward,29,Burnley,Championship
6964,Steven Naismith,WF,45,66,-21,50,66,Inside Forward,29,Heart of Midlothian FC,
15671,Nicolae Stanciu,AM,44,65,-21,52,65,Trequartista,32,Genoa,Serie A
3051,Iván Córdoba,CD,44,65,-21,47,65,Stopper,20,,
4384,Ludovic Giuly,WF,44,65,-21,46,65,Inside Forward,20,FC Lorient,
3627,Joseph Yobo,CD,43,64,-21,46,64,Stopper,20,Fenerbahçe,
15727,Niko Kranjčar,AM,43,64,-21,48,64,Trequartista,29,Rangers FC,
10114,David Rozehnal,CD,43,64,-21,44,64,Stopper,29,KV Oostende,
10130,David Weir,CD,42,63,-21,44,63,Stopper,20,,
10118,David Silva,AM,54,74,-20,60,74,Trequartista,43,Real Sociedad,La Liga
5102,Michael Turner,CD,45,65,-20,47,65,Stopper,20,,
5181,Mike Williamson,CD,44,64,-20,45,64,Stopper,29,Oxford United,Championship
13579,Klaas-Jan Huntelaar,CF,44,64,-20,45,64,Poacher,13,Schalke 04,2. Bundesliga
8852,Bafétimbi Gomis,CF,44,64,-20,49,64,Poacher,29,Galatasaray,Süper Lig
7541,Yoan Gouffran,WF,44,64,-20,47,64,Inside Forward,29,Ararat-Armenia FC,
10343,Dirk Kuyt,WF,43,63,-20,47,63,Inside Forward,20,Feyenoord,Eredivisie
4814,Martin Petrov,WF,43,63,-20,46,63,Inside Forward,20,,
13512,Khalid Boulahrouz,CD,43,63,-20,46,63,Stopper,20,Feyenoord,Eredivisie
16081,Papa Bouba Diop,DM,43,63,-20,47,63,Volante,20,,
4049,Kris Commons,AM,42,62,-20,45,62,Trequartista,20,Celtic,Scottish Premiership
5060,Michael Kightly,WF,42,62,-20,45,62,Inside Forward,29,,
230,Alessandro Matri,CF,41,61,-20,48,61,Poacher,29,Brescia,Serie B
12705,Jody Craddock,CD,40,60,-20,42,60,Stopper,20,,
3310,Jeremain Lens,WF,51,70,-19,54,70,Inside Forward,29,,
13623,Kostas Mitroglou,CF,50,69,-19,50,69,Poacher,13,,
7037,Tarik Elyounoussi,WF,50,69,-19,56,69,Inside Forward,43,Shonan Bellmare,J1 League
4805,Martin Harnik,WF,50,69,-19,53,69,Inside Forward,29,Werder Bremen,Bundesliga
9408,Carlos Tevez,CF,46,65,-19,54,65,Poacher,29,Boca Juniors,Liga de Voleibol Argentina – Serie A1
11828,Hristo Stoichkov,CF,46,65,-19,52,65,Poacher,32,,
10887,Fabio Quagliarella,CF,44,63,-19,49,63,Poacher,29,Sampdoria,Serie B
6612,Sergey Krivets,WF,44,63,-19,47,63,Inside Forward,20,Dynamo Brest,
9495,Charlie Nicholas,CF,43,62,-19,50,62,Poacher,32,,
2429,Franco Semioli,WF,43,62,-19,45,62,Inside Forward,20,,
9390,Carlos Fernández,CF,42,61,-19,47,61,Poacher,32,Real Sociedad,La Liga
13478,Kevin Kurányi,CF,42,61,-19,48,61,Poacher,29,1899 Hoffenheim,Bundesliga
9852,Damien Delaney,CD,42,61,-19,43,61,Stopper,29,Crystal Palace,Premier League
3799,Karim Haggui,CD,46,64,-18,48,64,Stopper,20,FC St. Gallen 1879,
4319,Loïc Rémy,CF,46,64,-18,50,64,Poacher,43,Brest,Ligue 1
18796,Zlatan Ibrahimović,CF,46,64,-18,54,64,Poacher,29,AC Milan,Serie A
16745,Robin van Persie,CF,46,64,-18,52,64,Poacher,29,Feyenoord,Eredivisie
3677,Juan Román Riquelme,AM,45,63,-18,48,63,Trequartista,20,,
16801,Roman Pavlyuchenko,CF,43,61,-18,47,61,Poacher,29,,
11499,Gordon Greer,CD,42,60,-18,43,60,Stopper,20,Kilmarnock,
15064,Michael Duff,CD,42,60,-18,42,60,Stopper,29,,
9542,Chris Baird,CD,42,60,-18,45,60,Stopper,20,Derby County,Championship
2544,Gary Doherty,CD,40,58,-18,42,58,Stopper,20,,
4660,Marcus Berg,CF,46,63,-17,51,63,Poacher,29,IFK Göteborg,Allsvenskan
17969,Tim Cahill,AM,44,61,-17,48,61,Trequartista,20,,
15711,Nikica Jelavić,CF,43,60,-17,47,60,Poacher,29,,
11464,Glenn Murray,CF,42,59,-17,45,59,Poacher,29,Nottingham Forest,Premier League
9386,Carlos Bocanegra,CD,42,59,-17,49,59,Zagueiro,34,,
7360,Vedad Ibišević,CF,42,59,-17,47,59,Poacher,29,Schalke 04,2. Bundesliga
4854,Massimo Maccarone,CF,42,59,-17,47,59,Poacher,29,,
17884,Theo Walcott,WF,60,76,-16,61,76,Inside Forward,29,Southampton,Premier League
2676,Giovani dos Santos,WF,58,74,-16,59,74,Inside Forward,20,,
11428,Giorgio Chiellini,CD,56,72,-16,58,72,Stopper,29,LAFC,
14908,Max Gradel,WF,53,69,-16,55,69,Inside Forward,29,Gaziantep,
14660,Martin Škrtel,CD,52,68,-16,52,68,Stopper,29,Spartak Trnava,
14478,Marco Simone,CF,44,60,-16,51,60,Poacher,32,,
12580,Jermain Defoe,CF,44,60,-16,48,60,Poacher,29,Rangers FC,
8639,Antonio Di Natale,CF,44,60,-16,50,60,Poacher,29,Udinese,Serie A
1208,Chris Riggott,CD,42,58,-16,44,58,Stopper,20,,
5899,Peter Ramage,CD,42,58,-16,44,58,Stopper,20,,
3707,Julien Faubert,WF,42,58,-16,43,58,Inside Forward,29,,
4993,Maxi López,CF,42,58,-16,47,58,Poacher,29,,
579,Antonio Floro Flores,CF,42,58,-16,48,58,Poacher,29,,
14073,Lucas Barrios,CF,42,58,-16,47,58,Poacher,29,,
9622,Christopher Samba,CD,54,69,-15,53,69,Stopper,29,Aston Villa,Premier League
3821,Keisuke Honda,AM,54,69,-15,58,69,Trequartista,29,,
5861,Per Mertesacker,CD,53,68,-15,52,68,Stopper,29,Arsenal,Premier League
15733,Nikola Kalinić,CF,51,66,-15,51,66,Poacher,13,HNK Hajduk Split,Croatian Football League
9960,Daniele De Rossi,DM,51,66,-15,55,66,Sentinelle,29,Boca Juniors,Liga de Voleibol Argentina – Serie A1
10127,David Villa,CF,45,60,-15,49,60,Poacher,20,Vissel Kobe,J1 League
11300,Gennaro Gattuso,DM,44,59,-15,47,59,Sentinelle,20,,
15252,Miroslav Klose,CF,44,59,-15,51,59,Poacher,29,Lazio,Serie A
1331,Claudio Pizarro,CF,44,59,-15,50,59,Poacher,29,Werder Bremen,Bundesliga
4605,Marco Borriello,CF,43,58,-15,48,58,Poacher,29,SPAL 2013,
17447,Simão,WF,43,58,-15,45,58,Inside Forward,20,,
1929,Dieumerci Mbokani,CF,42,57,-15,47,57,Poacher,29,,
4726,Mark Duffy,WF,41,56,-15,42,56,Inside Forward,20,ADO Den Haag,Eerste Divisie
3518,Jonathan Biabiany,WF,54,68,-14,55,68,Inside Forward,29,,
7545,Yoann Gourcuff,AM,54,68,-14,57,68,Trequartista,29,,
9894,Daniel Agger,CD,54,68,-14,56,68,Stopper,20,,
2241,Fabian Johnson,WF,50,64,-14,52,64,Inside Forward,29,Borussia Mönchengladbach,Bundesliga
18355,Vieirinha,AM,50,64,-14,55,64,Trequartista,43,PAOK,
4812,Martin Paterson,WF,49,63,-14,50,63,Inside Forward,20,,
11123,Francesco Totti,CF,46,60,-14,53,60,Poacher,29,AS Roma,Serie A
18469,Wayne Rooney,CF,46,60,-14,53,60,Poacher,29,Derby County,Championship
15043,Mevlüt Erdinç,CF,46,60,-14,49,60,Poacher,29,,
3366,Jimmy Briand,CF,44,58,-14,49,58,Poacher,29,Bordeaux,Ligue 2
4357,Luca Toni,CF,44,58,-14,47,58,Poacher,29,Verona,Serie A
17166,Santi Cazorla,CM,43,57,-14,50,57,Mezzala,51,Real Oviedo,Segunda División
2745,Graziano Pellè,CF,43,57,-14,51,57,Poacher,43,Parma,Serie A
9067,Billy Sharp,CF,42,56,-14,48,56,Poacher,43,Los Angeles Galaxy,
4078,Kyle Beckerman,DM,42,56,-14,45,56,Sentinelle,20,,
11125,Francis Benali,WD,41,55,-14,47,55,Carrilero,32,,
2707,Gökdeniz Karadeniz,CF,40,54,-14,46,54,Poacher,29,Rubin Kazan,Russian Premier League
14505,Marek Hamšík,AM,61,74,-13,64,74,Trequartista,29,Trabzonspor,Süper Lig
17672,Steven Taylor,CD,54,67,-13,53,67,Stopper,29,Wellington Phoenix,A-League Men
8864,Bakary Sako,WF,54,67,-13,56,67,Inside Forward,29,,
10312,Dimitar Berbatov,CF,46,59,-13,51,59,Poacher,29,PAOK,
2275,Fabrizio Miccoli,CF,44,57,-13,47,57,Poacher,20,Lecce,Serie A
8311,Álvaro Negredo,CF,44,57,-13,44,57,Poacher,13,Real Valladolid,LaLiga 2
11001,Fernando Llorente,CF,44,57,-13,49,57,Poacher,29,,
6833,Stefan Kießling,CF,44,57,-13,49,57,Poacher,29,Bayer Leverkusen,Bundesliga
242,Alex,CD,44,57,-13,52,57,Stopper,43,Santos FC,
2942,Humberto Suazo,CF,42,55,-13,45,55,Poacher,20,,
16884,Rubén García,AM,42,55,-13,47,55,Trequartista,56,Osasuna,La Liga
5735,Patrick Helmes,CF,42,55,-13,45,55,Poacher,20,1. FC Köln,Bundesliga
5656,Paddy McCourt,WF,42,55,-13,46,55,Inside Forward,34,Notts County,
18340,Víctor Gómez,WD,42,55,-13,46,55,Carrilero,40,Braga,Liga Portugal
1057,Carlos Vela,WF,56,68,-12,57,68,Inside Forward,20,LAFC,
2587,Geoffrey Mujangi Bia,WF,56,68,-12,57,68,Inside Forward,20,,
10483,Edin Džeko,CF,52,64,-12,58,64,Poacher,43,Fiorentina,Serie A
12432,Jason Puncheon,AM,52,64,-12,54,64,Trequartista,29,Anorthosis Famagusta FC,Cypriot First Division
7493,Wilson Palacios,DM,50,62,-12,53,62,Sentinelle,20,,
14338,Makoto Hasebe,CD,48,60,-12,50,60,Stopper,29,Eintracht Frankfurt,Bundesliga
17125,Samuel Eto'o,CF,45,57,-12,52,57,Poacher,29,Qatar SC,Qatar Stars League
13855,Leonardo Ulloa,CF,44,56,-12,48,56,Poacher,29,Rayo Vallecano,La Liga
4612,Marco Di Vaio,CF,43,55,-12,46,55,Poacher,20,,
5225,Mirko Vučinić,CF,43,55,-12,47,55,Poacher,20,,
16087,Pape Sarr,CM,42,54,-12,53,54,Metodista,60,Tottenham Hotspur,Premier League
16847,Rory Delap,DM,42,54,-12,45,54,Sentinelle,20,Stoke City,Championship
3432,Joey Barton,CM,42,54,-12,47,54,Mezzala,29,Burnley,Championship
3547,Jonathan Walters,CF,42,54,-12,47,54,Poacher,29,Ipswich Town,Premier League
6238,Rodrigo Palacio,CF,42,54,-12,49,54,Poacher,29,Brescia,Serie B
6628,Sergio Floccari,CF,42,54,-12,46,54,Poacher,29,,
11007,Fernando Sanz,CD,42,54,-12,48,54,Zagueiro,32,,
12139,Jack Moore,CD,38,50,-12,40,50,Zagueiro,32,Angers,Ligue 1
11263,Gareth Bale,WF,66,77,-11,68,77,Inside Forward,29,LAFC,
2492,Gabriel Obertan,WF,54,65,-11,55,65,Inside Forward,29,,
6649,Seydou Doumbia,CF,52,63,-11,57,63,Poacher,29,,
2693,Giuseppe Rossi,CF,47,58,-11,50,58,Poacher,20,,
9686,Clint Dempsey,CF,44,55,-11,48,55,Poacher,20,Seattle Sounders FC,Major League Soccer
1394,Craig Bellamy,CF,44,55,-11,47,55,Poacher,20,Cardiff City,Championship
189,Alberto Gilardino,CF,44,55,-11,48,55,Poacher,29,Spezia,Serie B
16272,Peter Crouch,CF,44,55,-11,48,55,Poacher,29,Burnley,Championship
11833,Hugo Almeida,CF,44,55,-11,44,55,Poacher,13,,
8845,Bacary Sagna,WD,44,55,-11,48,55,Carrilero,43,,
4339,Louis Saha,CF,44,55,-11,47,55,Poacher,20,Lazio,Serie A
16212,Pavel Pogrebnyak,CF,43,54,-11,47,54,Poacher,29,,
4395,Luís Fabiano,CF,43,54,-11,47,54,Poacher,20,,
15270,Mladen Petrić,CF,43,54,-11,46,54,Poacher,20,,
477,Andriy Voronin,CF,43,54,-11,47,54,Poacher,20,,
5503,Nilmar,CF,43,54,-11,46,54,Poacher,20,,
8088,Alessandro Diamanti,CF,42,53,-11,48,53,Poacher,29,Western United FC,A-League Men
5255,Mohammed Tchité,CF,42,53,-11,45,53,Poacher,20,,
13178,Julian Joachim,CF,41,52,-11,46,52,Poacher,32,,
9412,Carlton Cole,CF,40,51,-11,44,51,Poacher,20,Persib Bandung,Liga 1
3736,Junior Agogo,CF,39,50,-11,41,50,Poacher,20,,
12815,John O'Shea,CD,39,50,-11,38,50,Zagueiro,38,Reading,League One
22305,L. Vilsvik,CM,79,69,10,70,69,Metodista,46,OM,Ligue 1
4563,Marcano,CD,79,69,10,72,69,Zagueiro,34,,
18628,Yassin Belkhdim,CM,79,69,10,69,69,Metodista,56,Angers,Ligue 1
18534,Williams Kokolo,CD,79,69,10,72,69,Zagueiro,32,Sunderland,Championship
23121,M. Sivis,CM,79,69,10,70,69,Metodista,47,Dinamo Bucureşti,
9358,Carel Eiting,CM,79,69,10,74,69,Metodista,32,Omonia Nicosia,
18471,Wendell,WD,79,69,10,73,69,Carrilero,49,FC Porto,Liga Portugal
12374,Jan Kopic,CM,79,69,10,73,69,Metodista,32,Viktoria Plzeň,
12372,Jan Grzesik,CD,79,69,10,68,69,Zagueiro,41,Radomiak Radom,Ekstraklasa
19382,Ameen Al Dakhil,CM,79,69,10,68,69,Metodista,41,Stuttgart,
15147,Miguel Chaiwa,CM,79,69,10,68,69,Metodista,47,Hibernian,
18121,Tommaso Augello,WD,79,69,10,71,69,Carrilero,41,Palermo,Serie B
15283,Mohamed Bamba,CF,79,69,10,69,69,Poacher,52,Lorient,Ligue 2
7669,Aaron Nemane,CM,79,69,10,72,69,Metodista,32,Unión,
17288,Sebastian Walukiewicz,CD,79,69,10,68,69,Stopper,41,Torino,Serie A
12354,Jamie Reid,WF,79,69,10,72,69,Inside Forward,32,Dundee,
18095,Tomáš Ostrák,CM,79,69,10,67,69,Mezzala,46,St. Louis City SC,Major League Soccer
19833,Abdulelah Al Amri,CM,79,69,10,66,69,Metodista,47,,
7657,Aaron Henry,CM,79,69,10,69,69,Metodista,32,Charlton Athletic,League One
7995,Alan,AM,79,69,10,71,69,Trequartista,54,Moreirense,
13556,Killian Sardella,WD,79,69,10,71,69,Lateral,41,Anderlecht,Belgian Pro League
10039,Darragh Lenihan,CD,79,69,10,74,69,Zagueiro,32,Middlesbrough,Championship
14228,Luke Hendrie,CD,79,69,10,72,69,Zagueiro,32,Bradford City,League One
7846,Adam Phillips,CM,79,69,10,73,69,Metodista,32,Barnsley,
8316,Alvas Powell,WD,79,69,10,72,69,Carrilero,32,FC Cincinnati,Major League Soccer
11048,Finlay Robertson,CM,79,69,10,68,69,Mezzala,47,Dundee,
12127,Jack Iredale,CD,79,69,10,70,69,Stopper,41,Hibernian,
8821,Aylton Boa Morte,CM,79,69,10,73,69,Metodista,32,Kayserispor,Süper Lig
16750,Rochinha,CM,79,69,10,73,69,Metodista,32,Famalicão,
9403,Carlos Ponck,CM,79,69,10,67,69,Tuttocampista,45,Paços de Ferreira,
16494,Rarmani Edmonds-Green,CD,79,69,10,72,69,Zagueiro,32,OM,Ligue 1
9912,Daniel Chacón,CD,79,69,10,74,69,Zagueiro,32,,
15285,Mohamed Belloumi,WM,79,69,10,71,69,Winger,47,Hull City,Championship
9862,Dan Butler,CD,79,69,10,73,69,Zagueiro,32,Stevenage,League Two
16438,Rafał Wolski,CM,79,69,10,68,69,Metodista,47,Wisła Kraków,I liga
8486,Andrés Perea,CM,79,69,10,66,69,Metodista,46,Atlético Nacional,Categoría Primera A
13155,Juergen Elitim,CM,79,69,10,70,69,Metodista,47,Legia Warszawa,
14936,Maxime Colin,WD,79,69,10,70,69,Carrilero,50,Metz,Ligue 2
16365,Prince Aning,WD,79,69,10,71,69,Carrilero,32,Borussia Dortmund,Bundesliga
10262,Deybi Flores,CM,79,69,10,72,69,Metodista,32,Fehérvár,
10974,Felipe Hernández,CM,79,69,10,72,69,Metodista,32,Colo Colo,
13229,Jurgen Çelhaka,CM,79,69,10,72,69,Metodista,32,Iran,
17952,Tiago Djaló,CD,79,69,10,68,69,Zagueiro,50,Beşiktaş,
14597,Marko Jevtović,CM,79,69,10,70,69,Tuttocampista,45,Konyaspor,Süper Lig
16120,Patrick Brough,CM,79,69,10,72,69,Metodista,32,Lincoln City,
10511,Efecan Karaca,CM,79,69,10,74,69,Metodista,32,Alanyaspor,Süper Lig
10432,Dujon Sterling,WD,79,69,10,70,69,Lateral,41,Rangers FC,
10142,Davie Selke,CF,79,69,10,68,69,Poacher,52,Başakşehir,
10721,Enzo Tchato,CD,79,69,10,70,69,Stopper,41,Montpellier,Ligue 1
15470,Myles Weston,CM,79,69,10,70,69,Metodista,34,Barrow,
10966,Federico Navarro,CM,79,69,10,73,69,Metodista,32,Talleres de Cordoba,Argentine Primera División
13659,Kwadwo Opoku,WF,79,69,10,73,69,Inside Forward,32,LAFC,
12941,Jordan Willis,CD,79,69,10,72,69,Zagueiro,32,Sunderland,Championship
11762,Hector Bellerin,WD,79,69,10,69,69,Lateral,51,Real Betis,La Liga
13935,Liam Kitching,CD,79,69,10,67,69,Stopper,41,Coventry City,Championship
20117,Sven Owe Ohlsson,CM,79,69,10,68,69,Metodista,45,,
8862,Baily Cargill,CD,79,69,10,72,69,Zagueiro,32,Forest Green Rovers,League Two
12446,Javi Galán,WD,79,69,10,74,69,Lateral,42,Atlético Madrid,La Liga
18782,Zidane Iqbal,CM,79,69,10,73,69,Metodista,32,Utrecht,
15896,Oliver Skipp,DM,79,69,10,68,69,Sentinelle,55,Leicester City,Premier League
17847,Telasco Segovia,CM,79,69,10,66,69,Metodista,46,Inter Miami CF,Major League Soccer
17368,Shadrach Ogie,CD,79,69,10,72,69,Zagueiro,32,Gillingham,League Two
12943,Jordan Zemura,CD,79,69,10,67,69,Zagueiro,50,Udinese,Serie A
11688,Harry Clifton,CM,79,69,10,72,69,Metodista,32,Grimsby Town,
9915,Daniel Edelman,CM,79,69,10,65,69,Metodista,47,New York Red Bulls,
12006,Isaac Hutchinson,CM,79,69,10,73,69,Metodista,32,Brighton,Premier League
22224,D. Kruse,CM,79,69,10,70,69,Metodista,47,IFK Göteborg,Allsvenskan
17343,Sergio Busquets,DM,79,69,10,67,69,Sentinelle,48,Inter Miami CF,Major League Soccer
9634,Chukwubuikem Ikwuemesi,CF,79,69,10,66,69,Poacher,52,Oud-Heverlee Leuven,Belgian Pro League
10764,Erik Sviatchenko,CD,79,69,10,67,69,Stopper,40,Houston Dynamo FC,Major League Soccer
12115,Jack Earing,CM,79,69,10,72,69,Metodista,32,Bolton Wanderers,
19088,Kajetan sZMYT,WM,79,69,10,67,69,Winger,47,,
15020,Mërgim Vojvoda,WD,79,69,10,68,69,Lateral,50,Como,Serie A
9335,Cameron Peupion,AM,79,69,10,71,69,Trequartista,32,ADO Den Haag,Eerste Divisie
9682,Clément Lenglet,CD,79,69,10,67,69,Zagueiro,50,Atlético Madrid,La Liga
8780,Assan Ceesay,CM,79,69,10,71,69,Metodista,41,Damac FC,
12154,Jack Senior,CD,79,69,10,72,69,Zagueiro,32,Huddersfield Town,Championship
20768,I. Maza,WM,79,69,10,74,69,Fantasista,47,Bayer Leverkusen,Bundesliga
7848,Adam Randell,CM,79,69,10,72,69,Metodista,47,Bristol City,Championship
14301,Madson,WM,79,69,10,67,69,Winger,49,FC Juárez,Liga MX
22211,M. Lindberg,CM,79,69,10,68,69,Metodista,46,Sirius,
13297,Kamal Miller,CD,79,69,10,66,69,Stopper,41,Portland Timbers,Major League Soccer
16904,Rudy Camacho,CD,79,69,10,73,69,Zagueiro,32,Columbus Crew,Major League Soccer
17321,Serdar Gürler,CM,79,69,10,66,69,Mezzala,47,Gençlerbirligi,
11810,Hiram Boateng,CM,79,69,10,73,69,Metodista,32,Mansfield Town,
14081,Lucas Digne,WD,79,69,10,70,69,Carrilero,51,Aston Villa,Premier League
