Name,Nation,Club,Position,Foot,Mentality,Primary Class,Secondary Class,Model,Level
Luka Modric,Croatia,Real Madrid,CM,R,Balanced,Controller,Creator,Pivot,90
Declan Rice,England,Arsenal,CM,R,Balanced,Engine,Commander,Driver,90
Florian Wirtz,Germany,Leverkusen,CM,R,Attacking,Creator,Dribbler,Magician,90
Bukayo Saka,England,Arsenal,WF,L,Balanced,Dribbler,Striker,Attacker,90
Mohamed Salah,Egypt,Liverpool,WF,L,Attacking,Creator,Striker,Fantasista,90
Rafael Leao,Portugal,AC Milan,WF,R,Attacking,Striker,Sprinter,Rocket,90
Thibaut Courtois,Belgium,Real Madrid,GK,L,Cautious,Orthodox,Acrobat,Wall,89
Emiliano Martinez,Argentina,Aston Villa,GK,R,Cautious,Commander,Orthodox,Hawk,89
Manuel Neuer,Germany,Bayern Munich,GK,R,Cautious,Distributor,Sweeper,Libero GK,89
Marc-Andre ter Stegen,Netherlands,Barcelona,GK,R,Cautious,Distributor,Sweeper,Libero GK,89
Gianluigi Donnarumma,Italy,PSG,GK,R,Cautious,Orthodox,Commander,Sentinel,89
Jan Oblak,Slovenia,Atletico Madrid,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,89
Trent Alexander-Arnold,England,Liverpool,WD ,R,Balanced,Passer,Creator,Playmaker,89
Joshua Kimmich,Germany,Bayern Munich,WD ,R,Balanced,Commander,Engine,General,89
Cristian Romero,Argentina,Tottenham Hotspur,CD,R,Cautious,Stopper,Powerhouse,Rock,89
Josko Gvardiol,Croatia,Manchester City,CD,L,Balanced,Cover,Stopper,Cornerback,89
Ronald Araujo,Uruguay,Barcelona,CD,R,Balanced,Stopper,Powerhouse,Rock,89
Ernesto Valverde,Uruguay,Real Madrid,CM,R,Balanced,Engine,Commander,Driver,89
Cole Palmer,England,Chelsea,CM,L,Attacking,Creator,Striker,Fantasista,89
Cristiano Ronaldo,Portugal,Al-Nassr,WF,R,Attacking,Striker,Sprinter,Rocket,89
Leroy Sane,Germany,Bayern Munich,WF,L,Attacking,Dribbler,Striker,Attacker,89
Khvicha Kvaratskhelia,Georgia,Napoli,WF,R,Attacking,Dribbler,Creator,Wizard,89
Neymar,Brazil,Al-Hilal,WF,R,Attacking,Creator,Dribbler,Magician,89
Ousmane Dembele,France,PSG,WF,E,Attacking,Dribbler,Creator,Wizard,89
Mohamed Kudus,Ghana,West Ham,WF,L,Attacking,Creator,Dribbler,Magician,89
Lautaro Martinez,Argentina,Inter Milan,CF,R,Balanced,Striker,Creator,Assassin,89
Victor Osimhen,Nigeria,Napoli,CF,R,Balanced,Aerial,Striker,Target,89
Ollie Watkins,England,Aston Villa,CF,R,Balanced,Sprinter,Striker,Ghost,89
Antoine Griezmann,Spain,Atletico Madrid,CF,L,Balanced,Creator,Striker,Fantasista,89
Guglielmo Vicario,Italy,Tottenham Hotspur,GK,R,Cautious,Acrobat,Distributor,All-Rounder,88
Unai Simon,Spain,Athletic Bilbao,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,88
Mike Maignan,France,AC Milan,GK,R,Cautious,Orthodox,Acrobat,Wall,88
Yann Sommer,Switzerland,Inter Milan,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,88
Andy Robertson,Scotland,Liverpool,WD ,L,Balanced,Engine,Sprinter,Shuttler,88
Achraf Hakimi,Morocco,PSG,WD ,R,Balanced,Sprinter,Engine,Shuttler,88
Ferland Mendy,France,Real Madrid,WD ,L,Balanced,Sprinter,Engine,Shuttler,88
Thiago Silva,Brazil,Chelsea,CD,R,Cautious,Stopper,Commander,Leader,88
Micky van de Ven ,Netherlands,Tottenham Hotspur,CD,L,Balanced,Stopper,Sprinter,Shadow,88
David Alaba,Austria,Real Madrid,CD,L,Balanced,Passer,Cover,Provider,88
Marquinhos,Brazil,PSG,CD,R,Cautious,Stopper,Cover,Shield,88
Antonio Rudiger,Germany,Real Madrid,CD,R,Cautious,Stopper,Powerhouse,Rock,88
Manuel Akanji,Switzerland,Manchester City,CD,R,Cautious,Stopper,Aerial,Centre Back,88
Ibrahima Konate,France,Liverpool,CD,R,Cautious,Stopper,Powerhouse,Rock,88
Sergio Ramos,Spain,Sevilla,CD,R,Attacking,Stopper,Commander,Leader,88
Milan Škriniar,Slovakia,PSG,CD,R,Balanced,Stopper,Powerhouse,Rock,88
Jeremie Frimpong,Netherlands,Leverkusen,WM,R,Attacking,Sprinter,Dribbler,Flash,88
N'Golo Kante,France,Al-Ittihad,CM,R,Balanced,Engine,Cover,Dynamo,88
James Maddison,England,Tottenham Hotspur,CM,R,Attacking,Creator,Striker,Fantasista,88
João Palhinha,Portugal,Fulham,CM,R,Cautious,Engine,Stopper,Destroyer,88
Alexis Mac Allister,Argentina,Liverpool,CM,R,Attacking,Controller,Creator,Pivot,88
Bruno Fernandes,Portugal,Manchester United,CM,R,Attacking,Creator,Passer,Maestro,88
Nicolo Barella,Italy,Inter Milan,CM,R,Balanced,Engine,Commander,Driver,88
Bruno Guimaraes,Brazil,Newcastle United,CM,R,Balanced,Controller,Creator,Pivot,88
Aurelien Tchouameni,France,Real Madrid,CM,R,Cautious,Commander,Engine,General,88
Eduardo Camavinga,France,Real Madrid,CM,L,Balanced,Commander,Engine,General,88
Ilkay Gundogan,Germany,Barcelona,CM,R,Balanced,Controller,Creator,Pivot,88
Sergio Milinkovic-Savic,Serbia,Al-Hilal,CM,R,Attacking,Engine,Creator,Raumdeuter,88
Leon Goretzka,Germany,Bayern Munich,CM,R,Balanced,Engine,Commander,Driver,88
Granit Xhaka,Switzerland,Leverkusen,CM,L,Balanced,Commander,Engine,General,88
Kai Havertz,Germany,Arsenal,CM,L,Balanced,Engine,Creator,Raumdeuter,88
Jorginho,Italy,Arsenal,CM,R,Balanced,Controller,Passer,Regista,88
Thomas Muller,Germany,Bayern Munich,CM,R,Attacking,Engine,Creator,Raumdeuter,88
Jack Grealish,England,Manchester City,WF,R,Attacking,Dribbler,Creator,Wizard,88
Son Heung-min,South Korea,Tottenham Hotspur,WF,R,Balanced,Sprinter,Striker,Ghost,88
Sadio Mane,Senegal,Al-Nassr,WF,R,Balanced,Creator,Striker,Fantasista,88
Riyad Mahrez,Algeria,Al-Ahli,WF,L,Attacking,Dribbler,Creator,Wizard,88
Michael Olise,England,Crystal Palace,WF,L,Attacking,Dribbler,Striker,Attacker,88
Rodrygo,Brazil,Real Madrid,WF,R,Balanced,Creator,Dribbler,Magician,88
Jamal Musiala,Germany,Bayern Munich,WF,R,Attacking,Dribbler,Creator,Wizard,88
Gabriel Martinelli,Brazil,Arsenal,WF,R,Balanced,Sprinter,Striker,Ghost,88
Jadon Sancho,England,Borussia Dortmund,WF,R,Attacking,Creator,Dribbler,Magician,88
Jeremy Doku,Belgium,Manchester City,WF,R,Attacking,Dribbler,Creator,Wizard,88
Leon Bailey,Jamaica,Aston Villa,WF,L,Attacking,Creator,Dribbler,Magician,88
Alexander Isak,Sweden,Newcastle United,CF,R,Balanced,Striker,Creator,Assassin,88
Ivan Toney,England,Brentford,CF,R,Attacking,Aerial,Striker,Target,88
Karim Benzema,France,Al-Ittihad,CF,R,Attacking,Striker,Creator,Assassin,88
Julian Alvarez,Argentina,Manchester City,CF,R,Balanced,Creator,Striker,Fantasista,88
Reece James,England,Chelsea,,R,Balanced,Engine,Commander,Driver,87
Wojciech Szczesny,Poland,Juventus,GK,R,Cautious,Orthodox,Commander,Sentinel,87
David de Gea,Spain,Unattached,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,87
Andre Onana,Cameroon,Manchester United,GK,R,Balanced,Distributor,Sweeper,Libero GK,87
Alex Grimaldo,Spain,Leverkusen,WD ,L,Attacking,Creator,Passer,Maestro,87
Theo Hernandez,France,AC Milan,WD ,L,Attacking,Engine,Sprinter,Shuttler,87
Federico Dimarco,Italy,Inter Milan,WD ,L,Attacking,Passer,Cover,Provider,87
Lucas Hernandez,France,PSG,WD ,L,Attacking,Engine,Sprinter,Shuttler,87
Benjamin Pavard,France,Inter Milan,WD ,R,Balanced,Cover,Stopper,Cornerback,87
Raphael Guerreriro,Portugal,Bayern Munich,WD ,L,Balanced,Engine,Controller,Box-To-Box,87
Destiny Udogie,Italy,Tottenham Hotspur,WD ,L,Attacking,Sprinter,Cover,Flanker,87
Alessandro Bastoni,Italy,Inter Milan,CD,L,Balanced,Stopper,Engine,Train,87
Dayot Upamecano,France,Bayern Munich,CD,R,Balanced,Stopper,Controller,Lynchpin,87
Kim Min-Jae,South Korea,Bayern Munich,CD,R,Balanced,Stopper,Aerial,Centre Back,87
Gabriel Magalhães,Brazil,Arsenal,CD,L,Balanced,Aerial,Stopper,Titan,87
Jules Koundé,France,Barcelona,CD,R,Balanced,Stopper,Sprinter,Shadow,87
Nathan Aké,Netherlands,Manchester City,CD,L,Balanced,Cover,Stopper,Cornerback,87
Matthijs de Ligt,Netherlands,Juventus,CD,R,Balanced,Stopper,Controller,Lynchpin,87
Mats Hummels,Germany,Borussia Dortmund,CD,R,Balanced,Stopper,Commander,Leader,87
Eberechi Eze,England,Crystal Palace,CM,R,Attacking,Creator,Dribbler,Magician,87
John McGinn,Scotland,Aston Villa,CM,L,Balanced,Commander,Engine,General,87
Moises Caicedo,Ecuador,Chelsea,CM,R,Balanced,Engine,Stopper,Destroyer,87
Ruben Neves,Portugal,Al-Hilal,CM,R,Balanced,Controller,Passer,Regista,87
Warren Zaire-Emery,France,PSG,CM,R,Balanced,Controller,Creator,Pivot,87
Hakan Calhanoglu,Turkey,Inter Milan,CM,R,Balanced,Controller,Passer,Regista,87
Teun Koopmeiners,Netherlands,Atalanta,CM,L,Balanced,Controller,Engine,Conductor,87
Xavi Simons,Netherlands,RB Leipzig,CM,R,Attacking,Creator,Engine,Catalyst,87
Gavi,Spain,Barcelona,CM,R,Balanced,Creator,Passer,Maestro,87
Christopher Nkunku,France,Chelsea,CM,R,Attacking,Creator,Dribbler,Magician,87
Dominik Szoboszlai,Hungary,Liverpool,CM,R,Attacking,Creator,Sprinter,Livewire,87
Piotr Zielinski,Poland,Napoli,CM,R,Balanced,Passer,Creator,Playmaker,87
Marcelo Brozovic,Croatia,Al-Nassr,CM,R,Balanced,Engine,Commander,Driver,87
Sandro Tonali,Italy,Newcastle United,CM,R,Balanced,Controller,Passer,Regista,87
Mateo Kovacic,Croatia,Manchester City,CM,R,Balanced,Controller,Engine,Conductor,87
Brahim Diaz,Spain,Real Madrid,CM,L,Attacking,Creator,Dribbler,Magician,87
Frenkie de Jong,Netherlands,Barcelona,CM,R,Balanced,Controller,Dribbler,Carrier,87
Emre Can,Germany,Borussia Dortmund,CM,R,Balanced,Engine,Powerhouse,Bison,87
Lewis Ferguson,Scotland,Bologna,CM,R,Balanced,Engine,Commander,Driver,87
Wilfried Zaha,Ivory Coast,Galatasaray,WF,R,Attacking,Dribbler,Creator,Wizard,87
Allan Saint-Maximin,France,Newcastle United,WF,R,Attacking,Dribbler,Creator,Wizard,87
Pedro Neto,Portugal,Wolves,WF,L,Attacking,Dribbler,Sprinter,Winger,87
Diogo Jota,Portugal,Liverpool,WF,R,Balanced,Striker,Creator,Assassin,87
Jarred Bowen,England,West Ham,WF,L,Balanced,Sprinter,Striker,Ghost,87
Raphinha,Brazil,Barcelona,WF,L,Attacking,Creator,Striker,Fantasista,87
Harvey Barnes,England,Newcastle United,WF,R,Attacking,Dribbler,Striker,Attacker,87
Luis Diaz,Colombia,Liverpool,WF,R,Balanced,Creator,Striker,Fantasista,87
Serge Gnabry,Germany,Bayern Munich,WF,R,Attacking,Sprinter,Striker,Ghost,87
Kingsley Coman,France,Bayern Munich,WF,R,Attacking,Dribbler,Sprinter,Winger,87
Anthony Gordon,England,Newcastle United,WF,R,Attacking,Creator,Dribbler,Magician,87
Gabriel Jesus,Brazil,Arsenal,CF,R,Balanced,Creator,Dribbler,Magician,87
Matheus Cunha,Brazil,Wolves,CF,R,Balanced,Creator,Striker,Fantasista,87
Marcus Thuram,France,Inter Milan,CF,R,Balanced,Powerhouse,Striker,Spearhead,87
Olivier Giroud,France,AC Milan,CF,L,Balanced,Aerial,Striker,Target,87
Romelu Lukaku,Belgium,AS Roma,CF,L,Attacking,Powerhouse,Striker,Spearhead,87
Randal Kolo Muani,France,PSG,CF,R,Attacking,Striker,Sprinter,Rocket,87
Viktor Gyokeres,Sweden,Sporting,CF,R,Balanced,Engine,Striker,Livewire,87
Mauro Icardi,Argentina,Galatasaray,CF,R,Attacking,Striker,Aerial,Hitman,87
Federico Chiesa,Italy,Juventus,CF,R,Balanced,Sprinter,Striker,Ghost,87
Joao Felix,Portugal,Barcelona,CF,R,Attacking,Creator,Striker,Fantasista,87
Alvaro Morata,Spain,Atletico Madrid,CF,R,Balanced,Striker,Aerial,Hitman,87
Paulo Dybala,Argentina,AS Roma,CF,L,Attacking,Creator,Striker,Fantasista,87
Serhou Guirassy,Guinea,Stuttgart,CF,E,Attacking,Striker,Powerhouse,Rifle,87
Dominic Solanke,England,Bournemouth,CF,R,Balanced,Powerhouse,Striker,Spearhead,87
Niclas Füllkrug,Germany,Borussia Dortmund,CF,R,Attacking,Striker,Aerial,Hitman,87
Nick Pope,England,Newcastle United,GK,R,Cautious,Orthodox,Acrobat,Wall,86
Jordan Pickford,England,Everton,GK,L,Cautious,Acrobat,Orthodox,Shotstopper,86
Lucas Hradecky,Finland,Leverkusen,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,86
Gregor Kobel,Switzerland,Borussia Dortmund,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,86
Keylor Navas,Costa Rica,PSG,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,86
Kepa Arrizabalaga,Spain,Real Madrid,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,86
Yassine Bounou,Morocco,Al-Hilal,GK,L,Cautious,Acrobat,Orthodox,Shotstopper,86
Filip Jorgensen,,Villarreal,GK,R,Balanced,Acrobat,Aerial,,86
Kieran Trippier,England,Newcastle United,WD ,R,Balanced,Passer,Cover,Provider,86
Denzel Dumfries,Netherlands,Inter Milan,WD ,R,Attacking,Cover,Engine,Guardian,86
Ben White,England,Arsenal,WD ,R,Balanced,Engine,Cover,Dynamo,86
Dani Carvajal,Spain,Real Madrid,WD ,R,Cautious,Cover,Engine,Guardian,86
Nuno Mendes,Portugal,PSG,WD ,L,Attacking,Sprinter,Cover,Flanker,86
Joao Cancelo,Portugal,Barcelona,WD ,R,Attacking,Passer,Cover,Provider,86
Noussair Mazraoui,Morocco,Bayern Munich,WD ,R,Balanced,Sprinter,Cover,Dynamo,86
Lucas Digne,France,Aston Villa,WD ,L,Attacking,Passer,Cover,Provider,86
Marcos Acuna,Argentina,Sevilla,WD ,L,Balanced,Engine,Sprinter,Shuttler,86
Miguel Gutierrez,Spain,Girona,WD ,L,Attacking,Sprinter,Creator,Spark,86
Lewis Dunk,England,Brighton,CD,R,Balanced,Stopper,Controller,Lynchpin,86
Raphael Varane,France,Manchester United,CD,R,Cautious,Stopper,Cover,Shield,86
Nicolas Otamendi,Argentina,Benfica,CD,R,Cautious,Stopper,Commander,Leader,86
Lisandro Martinez,Argentina,Manchester United,CD,L,Balanced,Stopper,Cover,Shield,86
Alessio Romagnoli,Italy,Lazio,CD,L,Balanced,Stopper,Controller,Lynchpin,86
Francesco Acerbi,Italy,Inter Milan,CD,L,Balanced,Stopper,Engine,Train,86
Sven Botman,Netherlands,Newcastle United,CD,R,Balanced,Stopper,Engine,Train,86
Pau Torres,Spain,Aston Villa,CD,L,Balanced,Passer,Cover,Provider,86
Edmond Tapsoba,Burkina Faso,Leverkusen,CD,R,Balanced,Stopper,Controller,Lynchpin,86
Fikayo Tomori,England,AC Milan,CD,R,Cautious,Stopper,Powerhouse,Rock,86
Nico Schlotterbeck,Germany,Borussia Dortmund,CD,L,Cautious,Stopper,Aerial,Centre Back,86
Kalidou Koulibaly,Senegal,Al-Hilal,CD,R,Cautious,Stopper,Powerhouse,Rock,86
Willi Orban,Austria,RB Leipzig,CD,R,Balanced,Stopper,Commander,Leader,86
Niklas Sule,Germany,Borussia Dortmund,CD,R,Cautious,Stopper,Aerial,Centre Back,86
Axel Disasi,France,Chelsea,CD,R,Attacking,Stopper,Engine,Train,86
Andreas Christensen,Denmark,Barcelona,CD,R,Balanced,Stopper,Controller,Lynchpin,86
Diego Carlos,Brazil,Aston Villa,CD,R,Cautious,Stopper,Powerhouse,Rock,86
Nacho,Spain,Real Madrid,CD,R,Cautious,Stopper,Commander,Leader,86
Ethan Pinnock,England,Brentford,CD,L,Cautious,Stopper,Aerial,Centre Back,86
Jarrad Branthwaite,England,Everton,CD,L,Balanced,Stopper,Powerhouse,Rock,86
Odilon Kossounou,Ivory Coast,Leverkusen,CD,R,Balanced,Stopper,Aerial,Centre Back,86
Inigo Martinez,Spain,Barcelona,CD,L,Balanced,Stopper,Controller,Lynchpin,86
Piero Hincapie,Colombia,Leverkusen,CD,L,Cautious,Stopper,Engine,Train,86
Jonathan Tah,Germany,Leverkusen,CD,R,Balanced,Stopper,Powerhouse,Rock,86
Willian Pacho,Ecuador,Eintracht Frankfurt,CD,L,Balanced,Stopper,Powerhouse,Rock,86
Giorgio Scalvini,Italy,Atalanta,CD,R,Balanced,Cover,Controller,Anchor,86
Tanguy Nianzou,France,Sevilla,CD,R,Balanced,Stopper,Powerhouse,Rock,86
Aritz Elustondo,Spain,Real Sociedad,CD,R,Balanced,Stopper,Commander,Leader,86
Marcao,Brazil,Sevilla,CD,L,Balanced,Stopper,Controller,Lynchpin,86
Dwight McNeil,England,Everton,WM,L,Balanced,Creator,Dribbler,Magician,86
Willian,Brazil,Fulham,WM,R,Balanced,Creator,Passer,Maestro,86
Yves Bissouma,Mali,Tottenham Hotspur,CM,R,Balanced,Controller,Dribbler,Carrier,86
Ross Barkley,England,Luton Town,CM,R,Attacking,Controller,Creator,Pivot,86
Douglas Luiz,Brazil,Aston Villa,CM,R,Balanced,Passer,Creator,Playmaker,86
Morgan Gibbs-White,England,Nottingham Forest,CM,R,Attacking,Creator,Dribbler,Magician,86
Kobbie Mainoo,England,Manchester United,CM,R,Balanced,Controller,Engine,Conductor,86
Manuel Locatelli,Italy,Juventus,CM,R,Balanced,Cover,Commander,Anchor,86
Franck Kessie,Ivory Coast,Al-Ahli,CM,R,Balanced,Engine,Powerhouse,Bison,86
Marco Veratti,Italy,Al-Arabi,CM,R,Balanced,Controller,Passer,Regista,86
Rodrigo Bentancur,Uruguay,Tottenham Hotspur,CM,R,Balanced,Engine,Commander,Driver,86
Marcos Llorente,Spain,Atletico Madrid,CM,R,Balanced,Engine,Commander,Driver,86
Danilo Pereira,Portugal,PSG,CM,R,Cautious,Powerhouse,Stopper,Enforcer,86
Dani Olmo,Spain,RB Leipzig,CM,R,Attacking,Creator,Dribbler,Magician,86
Marten de Roon,Netherlands,Atalanta,CM,R,Cautious,Cover,Engine,Guardian,86
Fabinho,Brazil,Al-Ittihad,CM,R,Cautious,Cover,Powerhouse,Stalwart,86
Vitinha,Portugal,PSG,CM,R,Balanced,Creator,Engine,Catalyst,86
Lorenzo Pelligrini,Italy,AS Roma,CM,R,Balanced,Engine,Passer,Metronome,86
Joelinton,Brazil,Newcastle United,CM,R,Balanced,Powerhouse,Engine,Gladiator,86
Matheus Nunes,Portugal,Manchester City,CM,R,Attacking,Creator,Dribbler,Magician,86
Enzo Fernandez,Argentina,Chelsea,CM,R,Attacking,Creator,Passer,Maestro,86
Konrad Laimer,Austria,Bayern Munich,CM,R,Balanced,Engine,Stopper,Destroyer,86
Conor Gallagher,England,Chelsea,CM,R,Balanced,Engine,Commander,Driver,86
Rodrigo De Paul,Argentina,Atletico Madrid,CM,R,Balanced,Creator,Passer,Maestro,86
Koke,Spain,Atletico Madrid,CM,R,Balanced,Engine,Commander,Driver,86
Thiago,Spain,Liverpool,CM,R,Balanced,Controller,Creator,Pivot,86
Thomas Partey,Ghana,Arsenal,CM,R,Balanced,Powerhouse,Engine,Gladiator,86
Mathias Jensen,Denmark,Brentford,CM,R,Balanced,Controller,Engine,Conductor,86
Jonas Hofmann,Germany,Leverkusen,CM,R,Balanced,Engine,Creator,Raumdeuter,86
Martin Zubimendi,Spain,Real Sociedad,CM,R,Balanced,Controller,Engine,Conductor,86
Nemanja Gudelj,Serbia,Sevilla,CM,R,Balanced,Engine,Commander,Driver,86
Oliver Torres,Spain,Sevilla,CM,R,Attacking,Creator,Passer,Maestro,86
Lazar Samardzic,Serbia,Udinese,CM,L,Attacking,Creator,Passer,Maestro,86
Kiernan Dewsbury-Hall,England,Leicester City,CM,L,Attacking,Engine,Creator,Raumdeuter,86
Kaoru Mitoma,Japan,Brighton,WF,R,Attacking,Dribbler,Sprinter,Winger,86
Leandro Trossard,Belgium,Arsenal,WF,R,Balanced,Creator,Dribbler,Magician,86
Raheem Sterling,England,Chelsea,WF,R,Attacking,Sprinter,Dribbler,Flash,86
Marcus Rashford,England,Manchester United,WF,R,Attacking,Striker,Sprinter,Rocket,86
Moussa Diaby,France,Aston Villa,WF,L,Attacking,Creator,Striker,Fantasista,86
Callum Hudson-Odoi,England,Nottingham Forest,WF,R,Attacking,Dribbler,Creator,Wizard,86
Dejan Kulusevski,Sweden,Tottenham Hotspur,WF,L,Balanced,Creator,Passer,Maestro,86
Ademola Lookman,Nigeria,Atalanta,WF,R,Attacking,Sprinter,Dribbler,Flash,86
Ferran Torres,Spain,Barcelona,WF,R,Balanced,Sprinter,Striker,Ghost,86
Miguel Almiron,Paraguay,Newcastle United,WF,L,Balanced,Creator,Dribbler,Magician,86
Inaki Williams,Ghana,Athletic Bilbao,WF,R,Balanced,Sprinter,Striker,Ghost,86
Rafa,Portugal,Benfica,WF,R,Attacking,Sprinter,Dribbler,Flash,86
Takefusa Kubo,Japan,Real Sociedad,WF,L,Attacking,Creator,Dribbler,Magician,86
Galeno,Brazil,Porto,WF,R,Attacking,Creator,Dribbler,Magician,86
Mikel Oyarzabal,Spain,Real Sociedad,WF,L,Attacking,Creator,Dribbler,Magician,86
Mykhaylo Mudryk,Ukraine,Chelsea,WF,R,Attacking,Sprinter,Striker,Ghost,86
Hakim Ziyech,Morocco,Galatasaray,WF,L,Attacking,Creator,Passer,Maestro,86
Riyad Mahrez,Algeria,Al-Ahli,WF,L,Attacking,Creator,Dribbler,Magician,86
Christian Pulisic,USA,AC Milan,WF,R,Attacking,Sprinter,Dribbler,Flash,86
Angel Di Maria,Argentina,Benfica,WF,L,Balanced,Creator,Dribbler,Magician,86
Timo Werner,Germany,Tottenham Hotspur,WF,R,Balanced,Sprinter,Striker,Ghost,86
Simon Adingra,Ivory Coast,Brighton,WF,R,Attacking,Dribbler,Creator,Wizard,86
Yoane Wissa,DR Congo,Brentford,WF,R,Balanced,Sprinter,Creator,Spark,86
Marco Reus,Germany,Borussia Dortmund,WF,R,Attacking,Creator,Striker,Fantasista,86
Crysencio Summerville,Netherlands,Leeds United,WF,R,Attacking,Sprinter,Creator,Spark,86
Georginio Rutter,Netherlands,Leeds United,WF,R,Attacking,Creator,Dribbler,Magician,86
Suso,Spain,Sevilla,WF,L,Attacking,Creator,Dribbler,Magician,86
Bradley Barcola,France,PSG,WF,R,Attacking,Sprinter,Creator,Spark,86
Lucas Ocampos,Argentina,Sevilla,WF,R,Balanced,Creator,Engine,Catalyst,86
Savinho,Brazil,Girona,WF,L,Attacking,Sprinter,Creator,Spark,86
Donyell Malen,Netherlands,Borussia Dortmund,WF,R,Attacking,Creator,Striker,Fantasista,86
Luis Suarez,Uruguay,Inter Miami,CF,R,Balanced,Striker,Creator,Assassin,86
Jamie Vardy,England,Leicester City,CF,R,Balanced,Sprinter,Striker,Ghost,86
Darwin Nunez,Uruguay,Liverpool,CF,R,Balanced,Sprinter,Powerhouse,Athlete,86
Dusan Vlahovic,Serbia,Juventus,CF,L,Attacking,Striker,Powerhouse,Rifle,86
Nabil Fekir,France,Real Betis,CF,L,Attacking,Creator,Striker,Fantasista,86
Lois Openda,Belgium,RB Leipzig,CF,R,Balanced,Sprinter,Striker,Ghost,86
Youssef En-Nesyri,Morocco,Sevilla,CF,L,Balanced,Striker,Aerial,Hitman,86
Memphis Depay,Netherlands,Atletico Madrid,CF,R,Attacking,Striker,Creator,Assassin,86
Charles De Ketelaere,Belgium,Atalanta,CF,L,Attacking,Creator,Striker,Fantasista,86
Richarlison,Brazil,Tottenham Hotspur,CF,R,Balanced,Striker,Engine,Poacher,86
Cody Gakpo,Netherlands,Liverpool,CF,R,Balanced,Creator,Dribbler,Magician,86
Jonathan David,Canada,LOSC,CF,R,Attacking,Striker,Sprinter,Rocket,86
Sebastien Haller,Ivory Coast,Borussia Dortmund,CF,R,Balanced,Aerial,Striker,Target,86
Ciro Immobile,Italy,Lazio,CF,R,Attacking,Striker,Engine,Poacher,86
German Cano,Brazil,Fluminense,CF,R,Attacking,Striker,Engine,Poacher,86
Santiago Gimenez,Argentina,Feyenoord,CF,R,Attacking,Striker,Engine,Poacher,86
Victor Boniface,Nigeria,Leverkusen,CF,R,Balanced,Powerhouse,Aerial,Tank,86
Benjamin Sesko,Slovenia,RB Leipzig,CF,R,Balanced,Aerial,Powerhouse,Colossus,86
Karim Adeyemi,Germany,Borussia Dortmund,CF,L,Balanced,Sprinter,Striker,Ghost,86
Artem Dovbyk,Ukraine,Girona,CF,L,Balanced,Powerhouse,Striker,Spearhead,86
Sammie Szmodics,Ireland,Blackburn Rovers,,,,,,,85
Diogo Costa,Portugal,Porto,GK,R,Balanced,Distributor,Sweeper,Libero GK,85
David Raya,Spain,Arsenal,GK,R,Balanced,Distributor,Sweeper,Libero GK,85
Marco Carnesecchi,Italy,Atalanta,GK,R,Cautious,Orthodox,Commander,Sentinel,85
Alex Meret,Italy,Napoli,GK,L,Cautious,Acrobat,Orthodox,Shotstopper,85
