Position,Foot,Primary,Secondary,Nation,Name,Club,Level
CF,,,,,Noel Lopez,Real Madrid,83
CF,,,,,Mexx Meerdink,AZ,83
CF,,,,,Ilyes Housni,PSG,83
CF,,,,,Kevin Zefi,AS Roma,83
CF,,,,,Jesse Bal,Sparta,83
CF,,Ecuador,,,Allen Obando,Barcelona SC,83
CF,,,,,Samar Bazdar,Partizan,83
CF,,,,,Ethan Laidlaw,Brentford,83
CF,,,,,Tijn den Boggende,83,Utrecht
CF,,,,,Kaua Elias,Fluminense,83
CF,,Brazil,,,Luighi,,83
CF,,,,,Agustin Ruberto,River Plate,83
CF,,,,,Ricardo Pepi,PSV,83
CF,,,,,Garang Krol,Newcastle,84
CF,,,,,Jimmy-Jay Morgan,Chelsea,83
CF,,,,,Jovan Mijatovic,Red Star,83
CF,,,,,Pavel Meleshin,Spartak Moscow,83
CF,,,,,Rory Wilson,Aston Villa,84
CF,,,,,Muharem Huskovic,Austria Vienna,83
CF,,,,,Jon Karrikaburu,Real Sociedad,83
CF,,,,,Ernest Poku,AZ,83
CF,,,,,Dor Turgeman,Maccabi Tel-Aviv,83
CF,,,,,Sydney Osazuwa,Leganes,83
