Name,Active,Nation,Club,Physique,Character,Primary Class,Secondary Class,Position,Model,Level,Base Value,Decisions,Composure,Tempo,First Touch,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Flair,Balace,Set Piece,Carries,Penalty,Long,Close,Through,Range,Accuracy,Cross,Takeons,Skills,Anticipation,Stamina,Recovery,Pressing,Intensity,Tackling,Marking,Blocking,Bravery,Positioning,Concentraion,Awareness,Aerial Duels,Reactions,Pace,Acceleration,Agility,Physicality,Hold Up,Duels,Aggression,Coordination,Jumping,Heading,Foot,Mentality
Fernando Torres,,Spain,Retired,Pacy,Determined,Striker,Powerhouse,Central Forward,Rifle,91,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Harry Kane,checked,England,Bayern Munich,Powerful,Focused,Striker,Aerial,Central Forward,Hitman,91,£150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Wayne Rooney,,England,Retired,Robust,Unpredictable,Creator,Striker,Central Forward,Fantasista,91,£150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Patrick Vieira,,France,Retired,Powerful,Influential,Commander,Engine,Central Midfielder,General,91,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Xabi Alonso,,Spain,Retired,Robust,Determined,Controller,Passer,Central Midfielder,Regista,91,£90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jude Bellingham,checked,England,Real Madrid,,Determined,Creator,Engine,Central Midfielder,Catalyst,91,£180000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Peter Schmeichel,,Denmark,Retired,Powerful,Tenacious,Commander,Orthodox,Keeper,Hawk,91,£70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Eden Hazard,,Belgium,Retired,Nimble,Mercurial,Creator,Dribbler,Wide Forward,Magician,91,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Arjen Robben,,Netherlands,Retired,Rapid,Tenacious,Dribbler,Striker,Wide Forward,Spark,91,£110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
David Silva,,Spain,Retired,Nimble,Composed,Controller,Creator,Wide Forward,Playmaker,91,£90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Ryan Giggs,,Wales,Retired,Athletic,Determined,Dribbler,Creator,Wide Midfielder,Wizard,91,£180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Sol Campbell,,England,Retired,Powerful,Committed,Powerhouse,Stopper,Central Defender,Enforcer,90,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
William Saliba,checked,France,Arsenal,,,Stopper,Controller,Central Defender,Lynchpin,90,£90000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Didier Drogba,,Ivory Coast,Retired,Powerful,Determined,Striker,Powerhouse,Central Forward,Rifle,90,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Robin van Persie,,Netherlands,Retired,Nimble,Crafty,Striker,Creator,Central Forward,Assassin,90,£90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Ruud van Nistelrooy,,Netherlands,Retired,Robust,Determined,Striker,Powerhouse,Central Forward,Rifle,90,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Dennis Bergkamp,,Netherlands,Retired,Athletic,Composed,Creator,Striker,Central Forward,Fantasista,90,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Robert Lewandowski,checked,,Barcelona,,,Striker,Creator,Central Forward,Assassin,90,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Yaya Toure,,Ivory Coast,Retired,Powerful,Classy,Controller,Creator,Central Midfielder,Playmaker,90,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Bernardo Silva,checked,Portugal,Manchester City,Nimble,Reliable,Creator,Engine,Central Midfielder,Catalyst,90,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Paul Scholes,,England,Retired,Balanced,Tenacious,Passer,Creator,Central Midfielder,Radar,90,£90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Claude Makélélé,,France,Retired,Dynamic,Reliable,Cover,Commander,Central Midfielder,Anchor,90,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Frank Lampard,,England,Retired,Dynamic,Determined,Creator,Engine,Central Midfielder,Catalyst,90,£140000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Juan Sebastian Veron,,Argentina,Retired,Robust,Classy,Controller,Passer,Central Midfielder,Regista,90,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Declan Rice,checked,England,West Ham,Powerful,Determined,Engine,Commander,Central Midfielder,Driver,90,£150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Martin Odegaard,checked,Norway,Arsenal,,,Creator,Passer,Central Midfielder,Maestro,90,£120000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Balanced
Phil Foden,checked,England,Manchester City,,,Creator,Striker,Central Midfielder,Fantasista,90,£150000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Attacking
Alisson Becker,checked,Brazil,Liverpool,Athletic,Determined,Acrobat,Distributor,Keeper,All-Rounder,90,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Patrice Evra,,France,Retired,Agile,Reliable,Cover,Engine,Wide Defender,Full Back,90,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Mohamed Salah,checked,Egypt,Liverpool,Agile,Talismanic,Creator,Striker,Wide Forward,Fantasista,90,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Vinicius Juinor,checked,Brazil,Real Madrid,,,Creator,Dribbler,Wide Forward,Magician,90,£140000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
Rafael Leao,checked,Portugal,AC Milan,,,Striker,Sprinter,Wide Forward,Rocket,90,£140000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
John Terry,,England,Retired,Robust,Influential,Commander,Stopper,Central Defender,Leader,89,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Cristian Romero,checked,Argentina,Tottenham Hotspur,,,Stopper,Powerhouse,Central Defender,Rock,89,£80000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
Josko Gvardiol,checked,,Manchester City,,,Cover,Stopper,Central Defender,Cornerback,89,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Balanced
Carlos Tevez,,Argentina,Retired,Powerful,Tenacious,Engine,Striker,Central Forward,Livewire,89,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Alan Shearer,,England,Retired,Powerful,Resolute,Striker,Aerial,Central Forward,Hitman,89,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Lautaro Martinez,checked,Argentina,Inter Milan,Speedy,Determined,Striker,Creator,Central Forward,Assassin,89,£110000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Victor Osimhen,checked,Nigeria,Napoli,Athletic,Tenacious,Aerial,Powerhouse,Central Forward,Colossus,89,£90000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Antoine Griezmann,checked,,Atletico Madrid,,,Creator,Striker,Central Forward,Fantasista,89,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Balanced
Roy Keane,,Ireland,Retired,Powerful,Aggressive,Engine,Stopper,Central Midfielder,Destroyer,89,£70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Mesut Ozil,,Germany,Retired,Lean,Classy,Creator,Passer,Central Midfielder,Maestro,89,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Florian Wirtz,checked,Germany,Leverkusen,,,Creator,Dribbler,Central Midfielder,Magician,89,£120000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
Ernesto Valverde,checked,Uruguay,Real Madrid,,,Engine,Commander,Central Midfielder,Driver,89,£110000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Nicolo Barella,checked,Italy,Inter Milan,,,Engine,Commander,Central Midfielder,Driver,89,£90000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Bruno Guimaraes,checked,Brazil,Newcastle,,,Creator,Engine,Central Midfielder,Catalyst,89,£80000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Jorginho,checked,,Arsenal,,,Controller,Passer,Central Midfielder,Regista,89,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Gianluigi Donnarumma,checked,,PSG,,,Orthodox,Commander,Keeper,Sentinel,89,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Cautious
Bukayo Saka,checked,England,Arsenal,Speedy,Composed,Dribbler,Striker,Wide Forward,Spark,89,£110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Mohamed Kudus,checked,,West Ham,,,Creator,Engine,Wide Forward,Catalyst,89,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Attacking
David Ginola,,France,Retired,Powerful,Classy,Creator,Dribbler,Wide Midfielder,Magician,89,£110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Robert Pires,,France,Retired,Balanced,Elegant,Creator,Dribbler,Wide Midfielder,Magician,89,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
David Alaba,checked,,Real Madrid,,,Passer,Cover,Central Defender,Provider,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Balanced
Antonio Rudiger,checked,,Real Madrid,,,Stopper,Powerhouse,Central Defender,Rock,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Manuel Akanji,checked,,Manchester City,,,Stopper,Aerial,Central Defender,Centre Back,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Ibrahima Konate,checked,,Liverpool,,,Stopper,Powerhouse,Central Defender,Rock,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Cautious
Milan Škriniar,checked,,PSG,,,Stopper,Powerhouse,Central Defender,Rock,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Sergio Agüero,,Argentina,Retired,Speedy,Determined,Striker,Creator,Central Forward,Assassin,88,£90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Ollie Watkins,checked,England,Aston Villa,,,Sprinter,Striker,Central Forward,Ghost,88,£100000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Lucas Paqueta,checked,Brazil,West Ham,Powerful,Unpredictable,Creator,Passer,Central Midfielder,Maestro,88,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Michael Essien,,Ghana,Retired,Powerful,Tenacious,Engine,Powerhouse,Central Midfielder,Bison,88,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
João Palhinha,checked,Portugal,Fulham,Dominant,Aggressive,Engine,Stopper,Central Midfielder,Destroyer,88,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Ruben Neves,checked,Portugal,Wolves,Robust,Determined,Controller,Passer,Central Midfielder,Regista,88,£70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Bruno Fernandes,checked,Portugal,Manchester United,,,Creator,Passer,Central Midfielder,Maestro,88,£80000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
Toni Kroos,checked,Germany,Real Madrid,,,Controller,Passer,Central Midfielder,Regista,88,£60000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,E,Balanced
Kai Havertz,checked,,Arsenal,,,Creator,Engine,Central Midfielder,Catalyst,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,L,Balanced
Hugo Lloris,,France,Retired,Athletic,Influential,Acrobat,Sweeper,Keeper,Hawk,88,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Emiliano Martinez,checked,Argentina,Aston Villa,Athletic,Antagonistic,Commander,Orthodox,Keeper,Hawk,88,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Manuel Neuer,checked,,Bayern Munich,,,Distributor,Sweeper,Keeper,Libero GK,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Marc-Andre ter Stegen,checked,,Barcelona,,,Distributor,Sweeper,Keeper,Libero GK,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Jan Oblak,checked,,Atletico Madrid,,,Acrobat,Orthodox,Keeper,Shotstopper,88,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Cautious
Kyle Walker,checked,England,Manchester City,Powerful,Aggressive,Sprinter,Cover,Wide Defender,Flanker,88,£60000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
