Name,Active,Level,Peak,Club,Division,Mentality,Position,Foot,Nation,Primary Class,Secondary Class,Model,Physique,Character,Base Value
Alfie Gilchrist,checked,82,82,Chelsea,Premier League,,,,,,,,,,
Diego Moreira,checked,82,82,Chelsea,Premier League,,,,,,,,,,
Romeo Lavia,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Jimi Tauriainen,checked,82,82,Chelsea,Premier League,,,,,,,,,,
Leo Castledine,checked,82,82,Chelsea,Premier League,,,,,,,,,,
Malang Sarr,checked,83,83,Chelsea,Premier League,,,,,,,,,,
Ian Maatsen,checked,85,85,Dortmund,Bundesliga,,,,,,,,,,
Omari Hutchinson,checked,83,83,Chelsea,Premier League,,,,,,,,,,
Gabriel Slonina,checked,83,83,Eupen,Jupiler Pro League,,,,,,,,,,
Armando Broja,checked,84,84,Fulham,Premier League,,,,,,,,,,
Michael Golding,checked,80,80,Chelsea,Premier League,,,,,,,,,,
Zak Sturge,checked,80,80,Chelsea,Premier League,,,,,,,,,,
Ishé Samuels-Smith,checked,80,80,Chelsea,Premier League,,,,,,,,,,
Sam Johnstone,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
Tyrick Mitchell,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Rob Holding,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
James Tomkins,checked,82,84,Crystal Palace,Premier League,,,,,,,,,,
Jefferson Lerma,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Jordan Ayew,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Matheus Franca,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
Daniel Munoz,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
Joachim Andersen,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Nathaniel Clyne,checked,82,82,Crystal Palace,Premier League,,,,,,,,,,
Will Hughes,checked,82,82,Crystal Palace,Premier League,,,,,,,,,,
Adam Wharton,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Odsonne Edouard,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Chris Richards,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
Naouirou Ahamada,checked,82,82,Crystal Palace,Premier League,,,,,,,,,,
Dean Henderson,checked,84,84,Crystal Palace,Premier League,,,,,,,,,,
Remi Matthews,checked,80,80,Crystal Palace,Premier League,,,,,,,,,,
Nathan Ferguson,checked,82,82,Crystal Palace,Premier League,,,,,,,,,,
Jairo Riedewald,checked,83,83,Crystal Palace,Premier League,,,,,,,,,,
Jesurun Rak-Sakyi,checked,82,82,Crystal Palace,Premier League,,,,,,,,,,
David Ozoh,checked,81,81,Crystal Palace,Premier League,,,,,,,,,,
Kenny Tete,checked,84,84,Fulham,Premier League,,,,,,,,,,
Antonee Robinson,checked,84,84,Fulham,Premier League,,,,,,,,,,
Harry Wilson,checked,83,83,Fulham,Premier League,,,,,,,,,,
Andreas Pereira,checked,84,84,Fulham,Premier League,,,,,,,,,,
Harrison Reed,checked,83,83,Fulham,Premier League,,,,,,,,,,
Sasa Lukic,checked,83,83,Fulham,Premier League,,,,,,,,,,
Willian,checked,85,87,Fulham,Premier League,,,,,,,,,,
Tosin Adarabioyo,checked,85,85,Fulham,Premier League,,,,,,,,,,
Bobby Decordova-Reid,checked,83,83,Fulham,Premier League,,,,,,,,,,
Issa Diop,checked,84,84,Fulham,Premier League,,,,,,,,,,
Carlos Vinicius,checked,83,83,Fulham,Premier League,,,,,,,,,,
Marek Rodak,checked,81,82,Fulham,Premier League,,,,,,,,,,
Calvin Bassey,checked,84,84,Fulham,Premier League,,,,,,,,,,
Fode Ballo-Toure,checked,83,83,Fulham,Premier League,,,,,,,,,,
Rodrigo Muniz,checked,85,85,Fulham,Premier League,,,,,,,,,,
Timothy Castagne,checked,84,84,Fulham,Premier League,,,,,,,,,,
Alex Iwobi,checked,85,85,Fulham,Premier League,,,,,,,,,,
Steven Benda,checked,82,82,Fulham,Premier League,,,,,,,,,,
Wataru Endo,checked,84,84,Liverpool,Premier League,,,,,,,,,,
Adrian,checked,83,83,Liverpool,Premier League,,,,,,,,,,
Ryan Gravenberch,checked,85,85,Liverpool,Premier League,,,,,,,,,,
Stefan Bajcetic,checked,83,83,Liverpool,Premier League,,,,,,,,,,
Ben Doak,checked,82,82,Liverpool,Premier League,,,,,,,,,,
Caoimhin Kelleher,checked,84,84,Liverpool,Premier League,,,,,,,,,,
Jarell Quansah,checked,85,85,Liverpool,Premier League,,,,,,,,,,
Conor Bradley,checked,85,85,Liverpool,Premier League,,,,,,,,,,
James Shea,checked,80,80,Luton Town,Premier League,,,,,,,,,,
Dan Potts,checked,81,81,Luton Town,Premier League,,,,,,,,,,
Mads Juel Andersen,checked,81,81,Luton Town,Premier League,,,,,,,,,,
Chiedozie Ogbene,checked,85,85,Luton Town,Premier League,,,,,,,,,,
Luke Berry,checked,83,83,Luton Town,Premier League,,,,,,,,,,
Elijah Adebayo,checked,85,85,Luton Town,Premier League,,,,,,,,,,
Marvelous Nakamba,checked,83,83,Luton Town,Premier League,,,,,,,,,,
Tahith Chong,checked,83,83,Luton Town,Premier League,,,,,,,,,,
Teden Mengi,checked,83,83,Luton Town,Premier League,,,,,,,,,,
Daiki Hashioka,checked,82,82,Luton Town,Premier League,,,,,,,,,,
Albert Sambi Lokonga,checked,83,83,Luton Town,Premier League,,,,,,,,,,
Fred Onyedinma,checked,81,81,Luton Town,Premier League,,,,,,,,,,
Joe Johnson,checked,80,80,Luton Town,Premier League,,,,,,,,,,
Elliot Thorpe,checked,80,80,Luton Town,Premier League,,,,,,,,,,
Zach Nelson,checked,79,79,Luton Town,Premier League,,,,,,,,,,
Taylan Harris,checked,79,79,Luton Town,Premier League,,,,,,,,,,
John Stones,checked,89,89,Manchester City,Premier League,,,,,,,,,,
Stefan Ortega,checked,85,85,Manchester City,Premier League,,,,,,,,,,
Sergio Gomez,checked,84,84,Manchester City,Premier League,,,,,,,,,,
Scott Carson,checked,80,80,Manchester City,Premier League,,,,,,,,,,
Oscar Bobb,checked,83,83,Manchester City,Premier League,,,,,,,,,,
Rico Lewis,checked,83,83Manchester City,Premier League,,,,,,,,,,
James McAtee,checked,84,84,Sheffield United,Premier League,,,,,,,,,,
Claudio Echeverri,checked,84,84,River Plate,,,,,,,,,,,
Kayky,checked,82,82,Manchester City,Premier League,,,,,,,,,,
Mahamadou SSusoho,checked,81,81,Manchester City,Premier League,,,,,,,,,,
Micah Hamilton,checked,83,83,Manchester City,Premier League,,,,,,,,,,
Taylor Harwood-Bellis,checked,83,83,Manchester City,Premier League,,,,,,,,,,

