Name,Nation,Club,Position,Mentality,Foot,Primary Class,Secondary Class,Model,Level,Peak,DOB,Age,YOB
Christian Panucci,Italy,,WD,,R,,,,,87
Paulo Negro,Italy,,WD,,,,,,,84
Bixente Lizarazu,France,,WD,,,,,,,88
Paolo Maldini,,,WD,,,,,,,95
Marcelo,Brazil,,WD,,,,,,,92
Jocelyn Angolma,France,,WD,,,,,,,85
Gianluca Pessotto,Italy,,WD,,E,,,,,88
Michael Reizieger,Netherlands,,WD,,,,,,,86
Kenny Sansom,Enggland,,WD,,,,,,,83
Domenico Criscito,Italy,,WD,,,,,,,85
Mike Maignan,France,AC Milan,GK,Cautious,R,Orthodox,Acrobat,Wall,88,88
Theo Hernandez,France,AC Milan,WD ,Attacking,L,Engine,Sprinter,Shuttler,87,87
Pierre Kalulu,France,AC Milan,WD ,Balanced,R,Cover,Stopper,Cornerback,84,84
Fikayo Tomori,England,AC Milan,CD,Cautious,R,Stopper,Powerhouse,Rock,86,86
Malick Thiaw,Germany,AC Milan,CD,Balanced,R,Stopper,Aerial,Centre Back,85,85
Samuel Chukwueze,Nigeria,AC Milan,WM,Attacking,L,Creator,Dribbler,Magician,85,85
Ismael Bennacer,Algeria,AC Milan,CM,Balanced,L,Engine,Controller,Box-To-Box,85,85
Tijani Reijnders,Netherlands,AC Milan,CM,Balanced,R,Creator,Passer,Maestro,85,85
Yunus Musah,USA,AC Milan,CM,Balanced,R,Engine,Stopper,Destroyer,85,85
Ruben Loftus-Cheek,England,AC Milan,CM,Balanced,R,Creator,Passer,Maestro,84,84
Rafael Leao,Portugal,AC Milan,WF,Attacking,R,Striker,Sprinter,Rocket,90,89
Christian Pulisic,USA,AC Milan,WF,Attacking,R,Sprinter,Dribbler,Raider,86,86
Olivier Giroud,France,AC Milan,CF,Balanced,L,Aerial,Striker,Target,87,87
Noah Okafor,Switzerland,AC Milan,CF,Attacking,R,Striker,Sprinter,Rocket,84,84
Mario Balotelli,Italy,Adana Denirspor,CF,Attacking,R,Striker,Powerhouse,Rifle,76,76
Yannick Bolasie,DR Congo,Adanaspor,WF,Attacking,R,Dribbler,Creator,Wizard,,84
Devyne Rensch,Netherlands,Ajax,WD ,Balanced,R,Cover,Controller,Anchor,83,83
Josip Sutalo,Croatia,Ajax,CD,Balanced,R,Stopper,Aerial,Centre Back,84,84
Jorrel Hato,Netherlands,Ajax,CD,Balanced,L,Stopper,Cover,Shield,84,84
Gaston Avila,Argentina,Ajax,CD,Attacking,L,Stopper,Controller,Lynchpin,84,84
Steven Berghuis,Netherlands,Ajax,WM,Attacking,L,Creator,Passer,Maestro,84,84
Kenneth Taylor,Netherlands,Ajax,CM,Balanced,L,Engine,Passer,Metronome,85,85
Jordan Henderson,England,Ajax,CM,Cautious,R,Commander,Engine,General,84,84
Steven Bergwijn,Netherlands,Ajax,WF,Attacking,R,Creator,Dribbler,Magician,84,84
Brian Brobbey,Netherlands,Ajax,CF,Balanced,R,Powerhouse,Striker,Spearhead,84,84
Eduoard Mendy,Senegal,Al-Ahli,GK,Cautious,R,Orthodox,Commander,Sentinel,85,86
Roger Ibanez,Spain,Al-Ahli,CD,Balanced,R,Stopper,Controller,Lynchpin,85,85
Franck Kessie,Ivory Coast,Al-Ahli,CM,Balanced,R,Engine,Powerhouse,Bison,86,86
Gabri Veiga,Brazil,Al-Ahli,CM,Attacking,R,Creator,Dribbler,Magician,84,84
Riyad Mahrez,Algeria,Al-Ahli,WF,Attacking,L,Dribbler,Creator,Wizard,88,89
Roberto Firmino,Brazil,Al-Ahli,CF,Balanced,R,Engine,Striker,Livewire,85,87
Marco Veratti,Italy,Al-Arabi,CM,Balanced,R,Controller,Passer,Regista,86,87
Philippe Coutinho,Brazil,Al-Duhail,WF,Attacking,R,Creator,Dribbler,Magician,85,88
Lyanco,Brazil,Al-Gharafa,CD,Balanced,R,Engine,Stopper,Destroyer,83,83
Yassine Bounou,Morocco,Al-Hilal,GK,Cautious,L,Acrobat,Orthodox,Shotstopper,86,87
Kalidou Koulibaly,Senegal,Al-Hilal,CD,Cautious,R,Stopper,Powerhouse,Rock,86,88
Sergio Milinkovic-Savic,Serbia,Al-Hilal,CM,Attacking,R,Engine,Creator,Raumdeuter,88,89
Ruben Neves,Portugal,Al-Hilal,CM,Balanced,R,Controller,Passer,Regista,87,87
Neymar,Brazil,Al-Hilal,WF,Attacking,R,Creator,Dribbler,Magician,89,91
Malcolm,Brazil,Al-Hilal,WF,Attacking,L,Creator,Dribbler,Magician,85,86
N'Golo Kante,France,Al-Ittihad,CM,Balanced,R,Engine,Cover,Dynamo,88,90
Fabinho,Brazil,Al-Ittihad,CM,Cautious,R,Cover,Powerhouse,Stalwart,86,87
Karim Benzema,France,Al-Ittihad,CF,Attacking,R,Striker,Creator,Assassin,88,90
Aymeric Laporte,Spain,Al-Nassr,CD,Balanced,L,Stopper,Controller,Lynchpin,83,83
Otavio,Portugal,Al-Nassr,WM,Attacking,R,Creator,Engine,Catalyst,85,85
Marcelo Brozovic,Croatia,Al-Nassr,CM,Balanced,R,Engine,Commander,Driver,87,87
Talisca,Brazil,Al-Nassr,CM,Attacking,L,Creator,Dribbler,Magician,85,86
Cristiano Ronaldo,Portugal,Al-Nassr,WF,Attacking,R,Striker,Sprinter,Rocket,89,92
Sadio Mane,Senegal,Al-Nassr,WF,Balanced,R,Creator,Striker,Fantasista,87,89
Roman Saiss,Morocco,Al-Shabab,CD,Balanced,R,Stopper,Commander,Leader,84,84
Yannick Carrasco,Belgium,Al-Shabab,WM,Attacking,R,Creator,Dribbler,Magician,85,84
Ivan Rakitić ,Croatia,Al-Shabab,CM,Balanced,R,Controller,Passer,Regista,83,87
Sergio Arribas,Spain,Almeria,WM,Attacking,L,Creator,Passer,Maestro,84,84
Arthur Vermeeren,Belgium,Antwerp,CM,Balanced,R,Controller,Passer,Regista,83,83
Jewison Bennette,Costa Rica,Aris,WF,Attacking,R,Sprinter,Dribbler,Raider,81,81
David Raya,Spain,Arsenal,GK,Balanced,R,Distributor,Sweeper,Libero GK,85,85
Aaron Ramsdale,England,Arsenal,GK,Balanced,R,Acrobat,Orthodox,Shotstopper,85,85
Ben White,England,Arsenal,WD ,Balanced,R,Engine,Cover,Dynamo,86,86
Oleksandr Zinchenko,Ukraine,Arsenal,WD ,Attacking,L,Controller,Passer,Regista,85,85
Jurrien Timber,Netherlands,Arsenal,WD ,Balanced,R,Cover,Controller,Anchor,85,85
Takehiro Tomiyasu,Japan,Arsenal,WD ,Cautious,R,Cover,Stopper,Cornerback,85,85
Cedric Soares,Portugal,Arsenal,WD ,Balanced,R,Engine,Cover,Dynamo,83,83
William Saliba,France,Arsenal,CD,Cautious,R,Stopper,Controller,Lynchpin,90,90
Gabriel Magalhães,Brazil,Arsenal,CD,Balanced,L,Aerial,Stopper,Titan,87,87
Jakub Kiwior,Poland,Arsenal,CD,Balanced,L,Stopper,Powerhouse,Rock,84,84
Reiss Nelson,England,Arsenal,WM,Attacking,R,Creator,Dribbler,Magician,83,83
Martin Odegaard,Norway,Arsenal,CM,Balanced,L,Creator,Passer,Maestro,91,90
Declan Rice,England,Arsenal,CM,Balanced,R,Engine,Commander,Driver,90,90
Kai Havertz,Germany,Arsenal,CM,Balanced,L,Engine,Creator,Raumdeuter,88,88
Jorginho,Italy,Arsenal,CM,Balanced,R,Controller,Passer,Regista,88,89
Thomas Partey,Ghana,Arsenal,CM,Balanced,R,Powerhouse,Engine,Gladiator,86,86
Emile Smith Rowe,England,Arsenal,CM,Attacking,R,Creator,Dribbler,Magician,84,84
Fabio Vieira,Portugal,Arsenal,CM,Attacking,L,Creator,Striker,Fantasista,83,83
Mohamed Elneny,Egypt,Arsenal,CM,Cautious,R,Engine,Cover,Dynamo,83,83
Bukayo Saka,England,Arsenal,WF,Balanced,L,Dribbler,Striker,Attacker,90,90
Gabriel Martinelli,Brazil,Arsenal,WF,Balanced,R,Sprinter,Striker,Ghost,87,87
Leandro Trossard,Belgium,Arsenal,WF,Balanced,R,Creator,Dribbler,Magician,86,86
Gabriel Jesus,Brazil,Arsenal,CF,Balanced,R,Creator,Dribbler,Magician,87,87
Eddie Nketiah,England,Arsenal,CF,Balanced,R,Powerhouse,Striker,Spearhead,84,84
Tyreece John-Jules,England,Arsenal,CF,Attacking,R,Striker,Creator,Assassin,79,79
Vanderson,Brazil,AS Monaco,WD ,Attacking,R,Passer,Cover,Provider,84,84
Alexandr Golovin,Russia,AS Monaco,WM,Balanced,R,Creator,Passer,Maestro,85,85
Rui Patricio,Portugal,AS Roma,GK,Cautious,R,Orthodox,Commander,Sentinel,84,84
Rasmus Kristensen,Denmark,AS Roma,WD ,Attacking,R,Engine,Powerhouse,Bison,84,84
Gianluca Mancini,Italy,AS Roma,CD,Cautious,R,Stopper,Powerhouse,Rock,85,85
Chris Smalling,England,AS Roma,CD,Cautious,R,Stopper,Powerhouse,Rock,85,85
Diego Llorente,Spain,AS Roma,CD,Attacking,R,Stopper,Controller,Lynchpin,84,84
Nicola Zalewski,Poland,AS Roma,WM,Balanced,R,Creator,Engine,Catalyst,84,84
Lorenzo Pelligrini,Italy,AS Roma,CM,Balanced,R,Engine,Passer,Metronome,86,86
Bryan Cristante,Italy,AS Roma,CM,Balanced,R,Engine,Commander,Driver,85,85
Renato Sanches,Portugal,AS Roma,CM,Balanced,R,Engine,Creator,Raumdeuter,85,85
Edoardo Bove,Italy,AS Roma,CM,Balanced,R,Engine,Stopper,Destroyer,85,85
Romelu Lukaku,Belgium,AS Roma,CF,Attacking,L,Powerhouse,Striker,Spearhead,87,88
Paulo Dybala,Argentina,AS Roma,CF,Attacking,L,Creator,Striker,Fantasista,87,87
Emiliano Martinez,Argentina,Aston Villa,GK,Cautious,R,Commander,Orthodox,Overseer,89,89
Robin Olsen,Sweden,Aston Villa,GK,Cautious,R,Acrobat,Orthodox,Shotstopper,83,83
Lucas Digne,France,Aston Villa,WD ,Attacking,L,Passer,Cover,Provider,86,86
Alex Moreno,Spain,Aston Villa,WD ,Balanced,L,Engine,Sprinter,Shuttler,84,84
Matty Cash,Poland,Aston Villa,WD ,Attacking,R,Sprinter,Engine,Shuttler,83,83
Pau Torres,Spain,Aston Villa,CD,Balanced,L,Passer,Cover,Provider,86,86
Diego Carlos,Brazil,Aston Villa,CD,Cautious,R,Stopper,Powerhouse,Rock,86,86
Ezri Konsa,England,Aston Villa,CD,Balanced,R,Stopper,Engine,Train,84,84
Tyrone Mings,England,Aston Villa,CD,Cautious,L,Powerhouse,Aerial,Tank,84,84
Emiliano Buendia,Argentina,Aston Villa,WM,Balanced,R,Engine,Creator,Raumdeuter,84,84
Jacob Ramsey,England,Aston Villa,WM,Attacking,R,Dribbler,Creator,Wizard,84,84
John McGinn,Scotland,Aston Villa,CM,Balanced,L,Commander,Engine,General,87,87
Douglas Luiz,Brazil,Aston Villa,CM,Balanced,R,Passer,Creator,Playmaker,86,86
Boubacar Kamara,France,Aston Villa,CM,Balanced,R,Controller,Engine,Conductor,84,84
Tim Ireogbunam,England,Aston Villa,CM,Cautious,R,Cover,Powerhouse,Stalwart,81,81
Leon Bailey,Jamaica,Aston Villa,WF,Attacking,L,Creator,Dribbler,Magician,87,88
Moussa Diaby,France,Aston Villa,WF,Attacking,L,Creator,Striker,Fantasista,86,86
Nicolo Zaniolo,Italy,Aston Villa,WF,Attacking,L,Creator,Striker,Fantasista,85,85
Ollie Watkins,England,Aston Villa,CF,Balanced,R,Sprinter,Striker,Ghost,89,89
John Duran,Colombia,Aston Villa,CF,Balanced,R,Powerhouse,Striker,Spearhead,83,83
Christian Benteke,Belgium,Aston Villa,CF,Balanced,R,Aerial,Powerhouse,Colossus,82,82
Reggie Cannon,USA,Atalanta,WD ,Balanced,R,Sprinter,Engine,Shuttler,82,82
Marco Carnesecchi,Italy,Atalanta,GK,Cautious,R,Orthodox,Commander,Sentinel,85,85
Matteo Ruggeri,Italy,Atalanta,WD ,Attacking,L,Passer,Cover,Provider,85,85
Brandon Soppy,France,Atalanta,WD ,Balanced,R,Sprinter,Dribbler,Raider,82,82
Giorgio Scalvini,Italy,Atalanta,CD,Balanced,R,Cover,Controller,Anchor,86,86
Teun Koopmeiners,Netherlands,Atalanta,CM,Balanced,L,Controller,Engine,Conductor,87,87
Marten de Roon,Netherlands,Atalanta,CM,Cautious,R,Cover,Engine,Guardian,86,84
Ademola Lookman,Nigeria,Atalanta,WF,Attacking,R,Sprinter,Dribbler,Raider,86,86
Charles De Ketelaere,Belgium,Atalanta,CF,Attacking,L,Creator,Striker,Fantasista,86,86
El Bilal Toure,Mali,Atalanta,CF,Balanced,R,Sprinter,Powerhouse,Athlete,85,85
Unai Simon,Spain,Athletic Bilbao,GK,Cautious,R,Acrobat,Orthodox,Shotstopper,88,88
Dani Vivian,Spain,Athletic Bilbao,CD,Balanced,R,Stopper,Engine,Train,85,85
Oihan Sancet,Spain,Athletic Bilbao,CM,Balanced,R,Controller,Engine,Conductor,85,85
Aimar,Spain,Athletic Bilbao,CM,Attacking,R,Creator,Passer,Maestro,84,84
Inaki Williams,Ghana,Athletic Bilbao,WF,Balanced,R,Sprinter,Striker,Ghost,86,86
Nico Williams,Spain,Athletic Bilbao,WF,Attacking,R,Creator,Dribbler,Magician,85,85
Fernandinho,Brazil,Athletico Paranaense,CM,Cautious,R,Cover,Commander,Anchor,84,86
Jan Oblak,Slovenia,Atletico Madrid,GK,Cautious,R,Acrobat,Orthodox,Shotstopper,89,89
Javi Galan,Spain,Atletico Madrid,WD ,Attacking,L,Passer,Cover,Provider,85,85
César Azpilicueta,Spain,Atletico Madrid,WD ,Cautious,R,Cover,Stopper,Cornerback,84,84
Gabriel Paulista,Brazil,Atletico Madrid,CD,Cautious,R,Stopper,Cover,Shield,84,84
Stefan Savic,Montenegro,Atletico Madrid,CD,Balanced,R,Stopper,Cover,Shield,84,84
Thomas Lemar,France,Atletico Madrid,WM,Attacking,L,Creator,Passer,Maestro,85,85
Rodrigo Riquelme,Spain,Atletico Madrid,WM,Balanced,R,Dribbler,Creator,Wizard,85,85
Nahuel Molina,Argentina,Atletico Madrid,WM,Balanced,R,Sprinter,Engine,Shuttler,85,85
Samuel Lino,Brazil,Atletico Madrid,WM,Balanced,R,Sprinter,Engine,Shuttler,84,84
Marcos Llorente,Spain,Atletico Madrid,CM,Balanced,R,Engine,Commander,Driver,86,86
Rodrigo De Paul,Argentina,Atletico Madrid,CM,Balanced,R,Creator,Passer,Maestro,86,86
Koke,Spain,Atletico Madrid,CM,Balanced,R,Engine,Commander,Driver,86,86
Axel Witsel,Belgium,Atletico Madrid,CM,Cautious,R,Cover,Commander,Anchor,85,86
Pablo Barrios,Spain,Atletico Madrid,CM,Balanced,R,Controller,Engine,Conductor,84,84
Angel Correa,Argentina,Atletico Madrid,WF,Attacking,R,Dribbler,Creator,Wizard,85,85
Antoine Griezmann,Spain,Atletico Madrid,CF,Balanced,L,Creator,Striker,Fantasista,89,90
Alvaro Morata,Spain,Atletico Madrid,CF,Balanced,R,Striker,Aerial,Hitman,87,87
Memphis Depay,Netherlands,Atletico Madrid,CF,Attacking,R,Striker,Creator,Assassin,86,86
Mathew Ryan,Australia,AZ,GK,Balanced,R,Distributor,Sweeper,Libero GK,83,76
Alexandre Penetra,Portugal,AZ,WD ,Balanced,R,Cover,Controller,Anchor,84,84
Marc-Andre ter Stegen,Netherlands,Barcelona,GK,Cautious,R,Distributor,Sweeper,Libero GK,89,90
Joao Cancelo,Portugal,Barcelona,WD ,Attacking,R,Passer,Cover,Provider,86,86
Alejandro Balde,Spain,Barcelona,WD ,Attacking,L,Sprinter,Cover,Flanker,85,85
Sergi Roberto,Spain,Barcelona,WD ,Balanced,R,Engine,Controller,Box-To-Box,85,85
Marcos Alonso,Spain,Barcelona,WD ,Attacking,L,Engine,Cover,Dynamo,,85
Ronald Araujo,Uruguay,Barcelona,CD,Balanced,R,Stopper,Powerhouse,Rock,89,89
Jules Koundé,France,Barcelona,CD,Balanced,R,Stopper,Sprinter,Shadow,87,87
Andreas Christensen,Denmark,Barcelona,CD,Balanced,R,Stopper,Controller,Lynchpin,86,86
Inigo Martinez,Spain,Barcelona,CD,Balanced,L,Stopper,Controller,Lynchpin,86,86
Pau Cubarsi,Spain,Barcelona,CD,Balanced,R,Stopper,Controller,Lynchpin,85,84
Hector Fort,Spain,Barcelona,WM,Balanced,R,Sprinter,Engine,Shuttler,82,82
Ilkay Gundogan,Germany,Barcelona,CM,Balanced,R,Controller,Creator,Pivot,88,89
Gavi,Spain,Barcelona,CM,Balanced,R,Creator,Passer,Maestro,87,87
Frenkie de Jong,Netherlands,Barcelona,CM,Balanced,R,Controller,Dribbler,Carrier,87,87
Oriol Romeu,Spain,Barcelona,CM,Cautious,R,Engine,Stopper,Destroyer,84,84
Raphinha,Brazil,Barcelona,WF,Attacking,L,Creator,Striker,Fantasista,87,87
Ferran Torres,Spain,Barcelona,WF,Balanced,R,Sprinter,Striker,Ghost,86,86
Robert Lewandowski,Poland,Barcelona,CF,Balanced,R,Striker,Aerial,Hitman,90,92
Joao Felix,Portugal,Barcelona,CF,Attacking,R,Creator,Striker,Fantasista,87,87
Vitor Roque,Brazil,Barcelona,CF,Attacking,R,Striker,Creator,Assassin,84,84
Jamie McCart,Scotland,Barnsley,CD,Balanced,L,Stopper,Controller,Lynchpin,81,81
Manuel Neuer,Germany,Bayern Munich,GK,Cautious,R,Distributor,Sweeper,Libero GK,89,92
Joshua Kimmich,Germany,Bayern Munich,WD ,Balanced,R,Commander,Engine,General,89,89
Raphael Guerreriro,Portugal,Bayern Munich,WD ,Balanced,L,Engine,Controller,Box-To-Box,87,87
Noussair Mazraoui,Morocco,Bayern Munich,WD ,Balanced,R,Sprinter,Cover,Flanker,86,86
Josip Stanisic,Croatia,Bayern Munich,WD ,Balanced,R,Stopper,Engine,Train,85,85
Dayot Upamecano,France,Bayern Munich,CD,Balanced,R,Stopper,Controller,Lynchpin,86,87
Kim Min-Jae,South Korea,Bayern Munich,CD,Balanced,R,Stopper,Aerial,Centre Back,86,87
Eric Dier,England,Bayern Munich,CD,Balanced,R,Stopper,Commander,Leader,84,84
Thomas Muller,Germany,Bayern Munich,CM,Attacking,R,Engine,Creator,Raumdeuter,88,89
Leon Goretzka,Germany,Bayern Munich,CM,Balanced,R,Engine,Commander,Driver,87,88
Konrad Laimer,Austria,Bayern Munich,CM,Balanced,R,Engine,Stopper,Destroyer,86,86
Aleksandar Pavlovic,Germany,Bayern Munich,CM,Balanced,R,Controller,Engine,Conductor,85,85
Leroy Sane,Germany,Bayern Munich,WF,Attacking,L,Dribbler,Striker,Attacker,89,89
Jamal Musiala,Germany,Bayern Munich,WF,Attacking,R,Dribbler,Creator,Wizard,88,88
Serge Gnabry,Germany,Bayern Munich,WF,Attacking,R,Sprinter,Striker,Ghost,87,87
Kingsley Coman,France,Bayern Munich,WF,Attacking,R,Dribbler,Sprinter,Winger,87,87
Mathys Tel,France,Bayern Munich,WF,Attacking,R,Dribbler,Sprinter,Winger,85,85
Harry Kane,England,Bayern Munich,CF,Balanced,R,Striker,Aerial,Hitman,92,92
Eric-Maxim Choupo-Moting,Cameroon,Bayern Munich,CF,Balanced,R,Aerial,Striker,Target,85,85
Anatoli Trubin,Ukraine,Benfica,GK,Balanced,R,Orthodox,Distributor,Sentry,85,85
Anatoliy Trubin,Ukraine,Benfica,GK,,,,,,85,
Nicolas Otamendi,Argentina,Benfica,CD,Cautious,R,Stopper,Commander,Leader,86,87
Antonio Silva,Portugal,Benfica,CD,Balanced,R,Stopper,Controller,Lynchpin,85,85
Fredrik Aursnes,Norway,Benfica,CM,Balanced,R,Engine,Controller,Box-To-Box,85,85
Joao Mario,Portugal,Benfica,CM,Balanced,R,Controller,Engine,Conductor,85,85
Sivert Mannsverk,Norway,Benfica,CM,Balanced,R,Engine,Passer,Metronome,84,84
Rafa,Portugal,Benfica,WF,Attacking,R,Sprinter,Dribbler,Raider,86,86
Angel Di Maria,Argentina,Benfica,WF,Balanced,L,Creator,Dribbler,Magician,86,87
David Neres,Brazil,Benfica,WF,Attacking,L,Creator,Dribbler,Magician,84,85
John Ruddy,England,Birmingham City,GK,Cautious,R,Orthodox,Aerial,Wall,83,
Neil Etheridge,Phillipines,Birmingham City,GK,Cautious,R,Acrobat,Orthodox,Shotstopper,82,
Brad Mayo,England,Birmingham City,GK,Balanced,R,Commander,Orthodox,Overseer,78,
Lee Buchanan,England,Birmingham City,WD ,Balanced,L,Sprinter,Engine,Shuttler,83,83
Cody Drameh,England,Birmingham City,WD ,Balanced,R,Sprinter,Cover,Flanker,82,82
Ethan Laird,England,Birmingham City,WD ,Balanced,R,Sprinter,Cover,Flanker,82,
Josh Williams,England,Birmingham City,WD ,Balanced,R,Sprinter,Cover,Flanker,82,
Emmanuel Longelo,DR Congo,Birmingham City,WD ,Attacking,L,Sprinter,Dribbler,Raider,81,
Dion Sanderson,England,Birmingham City,CD,Balanced,R,Powerhouse,Stopper,Enforcer,83,83
Emanuel Aiwu,Austria,Birmingham City,CD,Cautious,R,Stopper,Powerhouse,Rock,83,83
Marc Roberts,England,Birmingham City,CD,Balanced,R,Stopper,Powerhouse,Rock,82,
Marcel Oakley,England,Birmingham City,CD,Balanced,R,Stopper,Commander,Leader,77,
Alex Pritchard,England,Birmingham City,WM,Balanced,R,Creator,Engine,Catalyst,83,
Oliver Burke,Scotland,Birmingham City,WM,Attacking,R,Sprinter,Powerhouse,Athlete,82,
Krystian Bielik,Poland,Birmingham City,CM,Balanced,R,Aerial,Engine,Boxcrasher,83,
Andre Dozzell,England,Birmingham City,CM,Attacking,L,Passer,Creator,Playmaker,83,
Ivan Sunjic,Croatia,Birmingham City,CM,Cautious,R,Engine,Stopper,Destroyer,83,
Jordan James,Wales,Birmingham City,CM,Balanced,R,Engine,Controller,Box-To-Box,83,
Paik Seung-ho,South Korea,Birmingham City,CM,Attacking,R,Creator,Engine,Catalyst,83,
Gary Gardner,England,Birmingham City,CM,Balanced,R,Engine,Creator,Raumdeuter,82,
George Hall,England,Birmingham City,CM,Attacking,R,Creator,Engine,Catalyst,82,
Juninho Bacuna,Curacao,Birmingham City,CM,Balanced,R,Engine,Creator,Raumdeuter,82,
Alfie Chang,England,Birmingham City,CM,Balanced,R,Engine,Creator,Raumdeuter,80,
Josh Home,England,Birmingham City,CM,Balanced,R,Engine,Passer,Metronome,79,
Koji Miyoshi,Japan,Birmingham City,WF,Attacking,L,Creator,Dribbler,Magician,82,82
Siriki Dembele,Scotland,Birmingham City,WF,Attacking,R,Sprinter,Dribbler,Raider,81,81
Jay Stansfield,England,Birmingham City,CF,Balanced,R,Engine,Striker,Livewire,83,83
Scott Hogan,Ireland,Birmingham City,CF,Attacking,R,Striker,Engine,Poacher,83,
Tyler Roberts,Wales,Birmingham City,CF,Balanced,R,Sprinter,Powerhouse,Athlete,82,82
Lukas Jutkiewicz,Poland,Birmingham City,CF,Attacking,L,Aerial,Powerhouse,Colossus,82,
Keshi Anderson,England,Birmingham City,CF,,R,Sprinter,Striker,Ghost,81,
Junior Dixon,England,Birmingham City,CF,Attacking,R,Sprinter,Stopper,Athlete,77,
Niall Ennis,Jamaica,Blackburn,CF,Attacking,R,Sprinter,Striker,Ghost,83,
Leopold Wahlstedt,Sweden,Blackburn Rovers,GK,Cautious,R,Acrobat,Sweeper,Hawk,83,
